Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ag (at.%),composition,Cd (at.%)
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-82.0,-125.0,54.0,Ag54.0Cd46.0 %,46.0
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-75.0,-110.0,54.5,Ag54.5Cd45.5 %,45.5
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-60.0,-100.0,55.0,Ag55.0Cd45.0 %,45.0
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-40.0,-60.0,55.7,Ag55.7Cd44.3 %,44.3
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-137.0,-153.0,52.2,Ag52.2Cd47.8 %,47.8
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-108.0,-138.0,53.2,Ag53.2Cd46.8 %,46.8
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-79.0,-113.0,54.2,Ag54.2Cd45.8 %,45.8
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-40.0,-82.0,55.2,Ag55.2Cd44.8 %,44.8
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-36.0,-73.0,56.2,Ag56.2Cd43.8 %,43.8
S. Miura; T. Mori,Scripta METALLURGICA,FERROELASTIC AND SUPEHELASTIC BEHAVIOR IN Ag-Cd ALLOYS,1973.0,-44.0,-106.0,55.0,Ag55.0Cd45.0 %,45.0
S. Miura; T. Mori,Scripta METALLURGICA,FERROELASTIC AND SUPEHELASTIC BEHAVIOR IN Ag-Cd ALLOYS,1973.0,-24.0,-88.0,56.0,Ag56.0Cd44.0 %,44.0
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-137.0,-154.0,52.2,Ag52.2Cd47.8 %,47.8
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-109.0,-133.0,53.2,Ag53.2Cd46.8 %,46.8
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-79.0,-114.0,54.2,Ag54.2Cd45.8 %,45.8
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-40.0,-84.0,55.2,Ag55.2Cd44.8 %,44.8
H. C. TONG and C. M. WAYMAN,ACTA METALLURGICA,CHARACTERISTIC TEMPERATURES AND OTHER PROPERTIES OF THERMOELASTIC MARTENSITES,1974.0,-35.45,-72.93,55.5,Ag55.5Cd44.5 %,44.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-178.0,-188.0,50.0,Ag50.0Cd50.0 %,50.0
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-147.0,-153.0,51.2,Ag51.2Cd48.8 %,48.8
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-144.0,-151.0,51.2,Ag51.2Cd48.8 %,48.8
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-75.0,-93.0,54.5,Ag54.5Cd45.5 %,45.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-72.0,-95.0,54.5,Ag54.5Cd45.5 %,45.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-71.0,-96.0,54.5,Ag54.5Cd45.5 %,45.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-70.0,-98.0,54.5,Ag54.5Cd45.5 %,45.5
T. Saburi and C.M. Wayman,Acta Metallurgica,THE SHAPE MEMORY MECHANISM AND RELATED PHENOMENA IN Ag-45at.%Cd ,1980.0,-50.0,-85.0,55.0,Ag55.0Cd45.0 %,45.0
