Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Cu (at.%),composition,Au (at.%),Zn (at.%)
Norihiko Nakanishi; Yuichiro Murakami; Sukeji Kachi,Japanese Journal of Applied Physics,Martensitic Transformation in Au-Cu-Zn Alloys,1965.0,3.1,-1.6,27.0,Au28.0Cu27.0Zn45.0 %,28.0,45.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,57.3,48.7,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,58.0,47.7,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,58.7,49.2,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,59.0,49.6,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,60.1,49.7,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,51.9,41.3,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,54.7,42.1,30.0,Au26.0Cu30.0Zn44.0 %,26.0,44.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,284.3,257.3,48.0,Au26.0Cu48.0Zn26.0 %,26.0,26.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,290.0,241.1,48.0,Au26.0Cu48.0Zn26.0 %,26.0,26.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,225.6,194.3,48.0,Au30.0Cu48.0Zn22.0 %,30.0,22.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,5.2,-5.0,19.0,Au36.0Cu19.0Zn45.0 %,36.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,5.9,-0.1,19.0,Au36.0Cu19.0Zn45.0 %,36.0,45.0
Norihiko Nakanishi; Yuichiro Murakami; Sukeji Kachi,Japanese Journal of Applied Physics,Martensitic Transformation in Au-Cu-Zn Alloys,1965.0,2.7,-5.6,27.0,Au28.0Cu27.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,61.3,56.9,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,61.3,56.8,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,60.0,56.2,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,57.9,55.2,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,57.6,55.8,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,57.3,52.4,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,56.2,46.1,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,54.5,39.4,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,51.8,32.1,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,48.6,24.1,30.0,Au25.0Cu30.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,38.1,32.2,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,38.0,32.1,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,37.6,32.0,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,36.9,31.7,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,36.1,31.2,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,34.5,30.5,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,33.0,29.1,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,31.3,27.8,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,29.6,26.4,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,29.6,24.8,28.0,Au27.0Cu28.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.0,-39.8,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.1,-39.8,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.1,-39.8,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.3,-40.0,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.1,-39.8,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.2,-40.1,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.0,-39.7,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-35.9,-39.8,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-36.1,-39.9,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-35.9,-40.1,25.0,Au30.0Cu25.0Zn45.0 %,30.0,45.0
