Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Cu (at.%),composition,Al (at.%),Mn (at.%)
Babacan; Atli; Turkbas; Karaman; Kockar,Materials Science and Engineering A,The effect of dynamic aging on the cyclic stability of Cu73Al16Mn11 shape memory alloy,2017.0,46.0,12.0,73.0,Cu73.0Al16.0Mn11.0 %,16.0,11.0
Canbay; Keskin,J. Thermal Analysis and Calorimetry,Effects of vanadium and cadmium on transformation temperatures of Cu-Al-Mn shape memory alloy,2014.0,152.0,90.0,74.95,Cu74.95Al21.33Mn3.72 %,21.33,3.72
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,155.0,131.0,76.1,Cu76.1Al23.0Mn0.9 %,23.0,0.9
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,146.0,122.0,71.9,Cu71.9Al23.0Mn5.1 %,23.0,5.1
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,162.0,139.0,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,152.0,127.0,72.5,Cu72.5Al20.9Mn6.6 %,20.9,6.6
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,94.0,82.0,70.0,Cu70.0Al22.0Mn8.0 %,22.0,8.0
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,69.0,53.0,70.0,Cu70.0Al21.5Mn8.5 %,21.5,8.5
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,123.0,91.0,71.7,Cu71.7Al19.5Mn8.8 %,19.5,8.8
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,38.0,4.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,15.0,-40.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,40.0,14.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,41.0,16.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,43.0,19.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,46.0,20.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz; Kato; Miura; Messerschmidt; Bartsch,,STRUCTURE CHANGES DURING PSEUDOELASTIC DEFORMATION OF CuAlMn SINGLE CRYSTALS,1996.0,-5.0,-32.0,69.7,Cu69.7Al20.8Mn9.5 %,20.8,9.5
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,37.0,-153.0,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,57.0,-85.0,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,117.0,-94.0,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,117.0,-89.0,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,117.0,-92.0,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,117.0,-98.0,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,-41.0,-78.0,73.0,Cu73.0Al17.0Mn10.0 %,17.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,-15.0,-49.0,74.0,Cu74.0Al16.0Mn10.0 %,16.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,63.0,30.0,73.0,Cu73.0Al17.0Mn10.0 %,17.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,97.0,62.0,74.0,Cu74.0Al16.0Mn10.0 %,16.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,-60.0,-122.0,73.0,Cu73.0Al14.0Mn13.0 %,14.0,13.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,-7.0,-67.0,73.0,Cu73.0Al14.0Mn13.0 %,14.0,13.0
Kato; Dutkiewicz; Miura,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN Cu-23at.%A1-7at.%Mn ALLOY SINGLE CRYSTALS,1994.0,40.0,-5.0,70.0,Cu70.0Al23.0Mn7.0 %,23.0,7.0
Kato; Ozu; Hashimoto; Miura,,Cyclic stress–strain response of superelastic Cu–Al–Mn alloy single crystals,1999.0,-55.0,-86.0,70.0,Cu70.0Al20.0Mn10.0 %,20.0,10.0
Koeda; Omori; Sutou; Suzuki; Wakita; Kainuma; Ishida,,Damping Properties of Ductile Cu-Al-Mn-Based Shape Memory Alloys,2005.0,5.0,-37.0,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Koeda; Omori; Sutou; Suzuki; Wakita; Kainuma; Ishida,,Damping Properties of Ductile Cu-Al-Mn-Based Shape Memory Alloys,2005.0,0.0,-30.0,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,-60.0,-108.0,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,-41.0,-80.0,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,-40.0,-80.0,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,-39.0,-46.0,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,-38.0,-60.0,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,-60.0,-108.0,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,-41.0,-80.0,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,-40.0,-80.0,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,-39.0,-63.0,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,-28.0,-60.0,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,15.0,-30.0,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,18.0,-27.0,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,30.0,-32.0,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,28.0,-18.0,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,30.0,-18.0,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Liu; Huang; Xie,,Superelastic anisotropy characteristics of columnar-grained Cu–Al–Mn shape memory alloys and its potential applications,2015.0,-38.3,-64.7,70.9,Cu70.9Al17.9Mn11.2 %,17.9,11.2
Liu; Huang; Xie,,The roles of grain orientation and grain boundary characteristics in the enhanced superelasticity of Cu71.8Al17.8Mn10.4 shape memory alloys,2014.0,-1.5,-51.0,72.0,Cu72.0Al17.8Mn10.2 %,17.8,10.2
Liu; Huang; Xie,,The roles of grain orientation and grain boundary characteristics in the enhanced superelasticity of Cu71.8Al17.8Mn10.4 shape memory alloys,2014.0,-9.1,-44.3,71.8,Cu71.8Al17.8Mn10.4 %,17.8,10.4
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,198.0,98.0,73.7,Cu73.7Al22.3Mn4.0 %,22.3,4.0
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,114.0,-14.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,70.0,-39.0,70.4,Cu70.4Al23.6Mn6.0 %,23.6,6.0
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,-60.0,-135.0,70.0,Cu70.0Al22.7Mn7.3 %,22.7,7.3
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,93.0,-10.0,71.4,Cu71.4Al22.7Mn5.9 %,22.7,5.9
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,119.0,59.0,72.4,Cu72.4Al21.7Mn5.9 %,21.7,5.9
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,132.0,59.0,72.2,Cu72.2Al21.7Mn6.1 %,21.7,6.1
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,79.0,10.0,71.5,Cu71.5Al21.6Mn6.9 %,21.6,6.9
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,93.0,15.0,71.4,Cu71.4Al21.6Mn7.0 %,21.6,7.0
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,107.0,35.0,71.7,Cu71.7Al21.3Mn7.0 %,21.3,7.0
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,54.0,-10.0,70.7,Cu70.7Al21.8Mn7.5 %,21.8,7.5
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,155.0,108.0,76.1,Cu76.1Al23.0Mn0.9 %,23.0,0.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,93.8,48.0,71.8,Cu71.8Al26.5Mn1.7 %,26.5,1.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,117.0,76.3,72.8,Cu72.8Al25.1Mn2.1 %,25.1,2.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,117.0,76.3,72.8,Cu72.8Al25.1Mn2.1 %,25.1,2.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,72.1,25.0,69.2,Cu69.2Al28.5Mn2.3 %,28.5,2.3
