Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Fe (at.%),composition,Mn (at.%),Si (at.%)
Golovin IS; Markova GV; Kustov SB; Komissarov AA,The Physics of Metals and Metallography,Study of martensitic transformation in the Fe-22 Mn-3 Si alloy by mechanical spectroscopy,2010.0,249.6,135.51,72.58,Fe72.58Mn21.64Si5.78 %,21.64,5.78
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,203.0,132.8,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,207.3,128.9,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,211.6,125.8,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,220.0,121.3,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,223.0,120.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,226.5,118.3,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,228.6,117.4,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,230.6,116.3,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,232.4,115.4,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,233.6,115.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
