Authors,Source,Title,Year,Martensite Finish Temperature - MF - (°C),Austenite Finish Temperature - AF - (°C),Ni (at.%),composition,Al (at.%)
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,131.0,165.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,101.0,138.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,110.0,150.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,97.0,137.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,112.0,152.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,83.0,124.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,96.0,138.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,84.0,128.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,86.0,132.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,83.0,136.0,64.0,Ni64.0Al36.0 %,36.0
