Authors,Source,Title,Year,Martensite Finish Temperature - MF - (°C),Austenite Finish Temperature - AF - (°C),Ni (at.%),composition,Al (at.%),Fe (at.%)
S. Furukawa; A. Inoue and T. Masumoto,Materials Science and Engineering,High ductility and shape memory effect of rapidly solidified B-2 compounds in the Ni Fe Al system,1988.0,66.0,129.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
P. Johansson; J. Liu and S. Savage,European Symposium on Martensitic Transformations,Nickel-Iron-Aluminium Shape Memory Alloys with Improved Properties by Rapid Solidification,1989.0,106.0,163.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
P. Johansson; J. Liu and S. Savage,European Symposium on Martensitic Transformations,Nickel-Iron-Aluminium Shape Memory Alloys with Improved Properties by Rapid Solidification,1989.0,109.0,178.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
E. P. George; C. T. Liu; C. J. Sparks; M.-Y. Kao; J. A. Horton; H. Kunsmann and T. King,MRS Proceedings,Microstructure; Phase Stability; Mechanical Properties; and Shape Memory Characteristics of Ni-Fe-AI-B Alloys,1991.0,50.0,122.0,56.1,Ni56.099999999999994Al23.9Fe20.0 %,23.9,20.0
R. Kainuma; H. Nakano; K. Oikawa; K. Ishida and T. Nishizawa,MRS Proceedings,High Temperature Shape Memory Alloys of Ni-Al Base Systems,1991.0,103.0,174.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C. Liu; C. Sparks; J. Horton; E. George; C. Carmichael; M.-Y. Kao and H. Kunsmann,MRS Online Proceedings Library Archive,Microstructural features and shape-memory characteristics of melt-spun Ni-Al-Fe-B ribbons,1991.0,63.0,112.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
C. Liu; C. Sparks; J. Horton; E. George; C. Carmichael; M.-Y. Kao and H. Kunsmann,MRS Online Proceedings Library Archive,Microstructural features and shape-memory characteristics of melt-spun Ni-Al-Fe-B ribbons,1991.0,59.0,109.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,-79.0,-55.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,-45.0,8.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,1.0,46.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,50.0,120.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,19.0,163.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,-6.0,105.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,60.0,227.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,53.0,187.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,-194.0,-121.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
E. P. George; C. T. Liu; J. A. Horton; H. Kunsmann; T. King and M. Kao,,Ecomaterials,1994.0,71.0,189.0,58.5,Ni58.5Al25.5Fe16.0 %,25.5,16.0
E. P. George; C. T. Liu; J. A. Horton; H. Kunsmann; T. King and M. Kao,,Ecomaterials,1994.0,96.0,148.0,58.5,Ni58.5Al25.5Fe16.0 %,25.5,16.0
E. P. George; C. T. Liu; J. A. Horton; C. J. Sparks; M. Kao; H. Kunsmann and T. King,Materials Characterization,Characterization; processing; and alloy design of NiAl-based shape memory alloys,1994.0,383.0,422.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
E. P. George; C. T. Liu; J. A. Horton; C. J. Sparks; M. Kao; H. Kunsmann and T. King,Materials Characterization,Characterization; processing; and alloy design of NiAl-based shape memory alloys,1994.0,84.0,149.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
C. Y. Xie; B. H. Jiang and G. X. Hu,Scripta Metallurgica et Materialia,Three stage yielding phenomenon in a NiAlFe alloy,1994.0,-62.0,-34.0,56.8,Ni56.8Al25.2Fe18.0 %,25.2,18.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,-15.0,33.0,63.2,Ni63.2Al35.550000000000004Fe1.25 %,35.55,1.25
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,2.0,54.0,63.4304,Ni63.4304Al35.6796Fe0.89 %,35.6796,0.89
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,50.0,105.0,63.7248,Ni63.724799999999995Al35.8452Fe0.43 %,35.8452,0.43
C. Xie; L. Sen and T. Hsu,Scripta Materialia,Two-way shape memory effect in a NiAl-Fe alloy,1996.0,23.0,52.0,57.19,Ni57.19Al24.28Fe18.53 %,24.28,18.53
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,7.0,49.0,58.0,Ni58.0Al26.0Fe16.0 %,26.0,16.0
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,6.0,42.0,58.4,Ni58.400000000000006Al23.6Fe18.0 %,23.6,18.0
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,20.0,58.0,58.8,Ni58.8Al21.2Fe20.0 %,21.2,20.0
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,8.0,52.0,59.2,Ni59.2Al18.8Fe22.0 %,18.8,22.0
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,50.0,88.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,50.0,78.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,45.0,69.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,29.0,69.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,74.0,107.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Intermetallics,Effect of ageing on the phase transformation temperatures and shape memory effect of a NiAl-Fe alloy,2000.0,32.0,70.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,129.0,184.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,89.0,150.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,101.0,170.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,93.0,183.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,90.0,179.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,129.0,175.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-2.0,46.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-73.0,-41.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-50.0,-17.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-8.0,51.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-10.0,55.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,4.0,52.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
