Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Fe (at.%)
Y. Liang; S. Jiang and J. Yu,Metals,Microstructure; mechanical property; and phase transformation of quaternary NiTiFeNb and NiTiFeTa shape memory alloys,2017.0,-0.35,-22.9,45.0,Ni45.0Ti51.8Fe3.2 %,51.8,3.2
B. Chen and F-S. Liu,Rare Metals,Phase transformation behavior and mechanical properties of Ti50Ni49−xFe1Coxshape memory alloys,2013.0,53.68566808,-3.22911896,49.0,Ni49.0Ti50.0Fe1.0 %,50.0,1.0
F. Liu; Y. Li; Y. Li and H. Xu,Materials Science and Engineering: A,A study on TiNi(Fe;Mo) shape memory alloy,2006.0,-11.13989637,-116.3212435,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
H. Xu; C. Jiang; S. Gong; and G. Feng,Materials Science and Engineering:A,Martensitic transformation of the Ti50Ni48Fe2 alloy deformed at different temperatures,2000.0,12.0,-60.0,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-10.15,-107.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-12.15,-104.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
S.K. Giri; M. K and U. Ramamurty,Materials Science and Engineering:A,Enhancement of fatigue life of Ni–Ti–Fe shape memory alloys by thermal cycling,2010.0,-24.0,-49.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
J. Wang; F. Liu and J. Cao,Materials Science and Engineering: A,The microstructure and thermomechanical behavior of Ti 50 Ni 47 Fe 2.5 Nd 0.5 shape memory alloys,2010.0,-32.0,-108.0,47.5,Ni47.5Ti50.0Fe2.5 %,50.0,2.5
C.M. Hwang and C.M. Wayman,Scripta metallurgica,Compositional dependence of transformation temperatures in ternary TiNiAl and TiNiFe alloys,1983.0,-60.0,-196.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-63.0,-196.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-63.0,-196.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-61.0,-196.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-60.0,-196.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
T. Saburi; K. Doi and S. Nenno,Materials Science Forum,Self-Accomodation of R-Phase in Ti-Ni-Fe and T-Ni-Al Alloys,1990.0,13.85,-98.15,48.2,Ni48.2Ti50.3Fe1.5 %,50.3,1.5
