Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
J. Beyer and J. H. Mulder,Materials Research Society,Recent developments in high temperature shape memory alloys,1994.0,230.0,127.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,142.0,23.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,140.0,20.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,138.0,17.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,152.0,22.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,169.0,23.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,174.0,21.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,125.0,48.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,176.0,36.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,182.0,29.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
