Authors,Source,Title,Year,Martensite Finish Temperature - MF - (°C),Austenite Finish Temperature - AF - (°C),Ru (at.%),composition,Ta (at.%)
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1109.0,1169.0,54.0,Ru54.0Ta46.0 %,46.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1055.0,1090.0,51.0,Ru51.0Ta49.0 %,49.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,768.0,1064.0,50.0,Ru50.0Ta50.0 %,50.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1087.0,1154.0,48.0,Ru48.0Ta52.0 %,52.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1122.0,1158.0,54.0,Ru54.0Ta46.0 %,46.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1076.0,1102.0,52.0,Ru52.0Ta48.0 %,48.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1055.0,1088.0,51.0,Ru51.0Ta49.0 %,49.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1045.0,1058.0,50.0,Ru50.0Ta50.0 %,50.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1100.0,1169.0,48.0,Ru48.0Ta52.0 %,52.0
X. Gao; Y. Zheng; W. Cai; S. Zhang and L. Zhao,Journal of Materials Science and Technology,Microstructure; compression property and shape memory effect of equiatomic TaRu high temperature shape memory alloy,2004.0,1015.0,1062.0,50.0,Ru50.0Ta50.0 %,50.0
X. Gao; Y. Zheng; W. Cai; S. Zhang and L. Zhao,Journal of Materials Science and Technology,Microstructure; compression property and shape memory effect of equiatomic TaRu high temperature shape memory alloy,2004.0,713.0,783.0,50.0,Ru50.0Ta50.0 %,50.0
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,1028.0,1050.0,49.6,Ru49.6Ta50.4 %,50.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,771.0,799.0,49.6,Ru49.6Ta50.4 %,50.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,520.0,554.0,44.6,Ru44.6Ta55.4 %,55.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,314.0,330.0,42.9,Ru42.9Ta57.1 %,57.1
