Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ti (at.%),composition,Pt (at.%)
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,1020.0,980.0,47.5,Ti47.5Pt52.5 %,52.5
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,1085.0,1020.0,50.0,Ti50.0Pt50.0 %,50.0
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,1080.0,1005.0,52.5,Ti52.5Pt47.5 %,47.5
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,1070.0,995.0,55.0,Ti55.0Pt45.0 %,45.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1225.0,1143.0,56.0,Ti56.0Pt44.0 %,44.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1054.0,950.0,56.0,Ti56.0Pt44.0 %,44.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1232.0,1150.0,57.0,Ti57.0Pt43.0 %,43.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1049.0,928.0,57.0,Ti57.0Pt43.0 %,43.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1238.0,1156.0,60.0,Ti60.0Pt40.0 %,40.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1232.0,1147.0,63.0,Ti63.0Pt37.0 %,37.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1226.0,1134.0,66.0,Ti66.0Pt34.0 %,34.0
T. Biggs; L. Cornish; M. Witcomb and M. Cortie,Journal of alloys and compounds,Revised phase diagram for the Pt–Ti system from 30 to 60 at.% platinum,2004.0,1225.0,1125.0,69.0,Ti69.0Pt31.0 %,31.0
Y. Yamabe-Mitarai; T. Hara; S. Miura and H. Hosoda,Materials transactions,Mechanical properties of Ti–50 (Pt; Ir) high-temperature shape memory alloys,2006.0,1057.0,963.0,50.0,Ti50.0Pt50.0 %,50.0
G.-M. Rotaru; W. Tirry; P. Sittner; J. Van Humbeeck and D. Schryvers,Acta materialia,Microstructural study of equiatomic PtTi martensite and the discovery of a new long-period structure,2007.0,1046.0,1011.0,50.0,Ti50.0Pt50.0 %,50.0
K. E. T. Araya,,Phase transformations and equilibria of titanium platinum alloys in the composition range 30-50 atomic percent platinum,2012.0,1228.0,1139.0,56.0,Ti56.0Pt44.0 %,44.0
K. E. T. Araya,,Phase transformations and equilibria of titanium platinum alloys in the composition range 30-50 atomic percent platinum,2012.0,1054.0,1010.0,56.0,Ti56.0Pt44.0 %,44.0
K. E. T. Araya,,Phase transformations and equilibria of titanium platinum alloys in the composition range 30-50 atomic percent platinum,2012.0,1241.0,1134.0,61.0,Ti61.0Pt39.0 %,39.0
K. E. T. Araya,,Phase transformations and equilibria of titanium platinum alloys in the composition range 30-50 atomic percent platinum,2012.0,1050.0,927.0,61.0,Ti61.0Pt39.0 %,39.0
K. E. T. Araya,,Phase transformations and equilibria of titanium platinum alloys in the composition range 30-50 atomic percent platinum,2012.0,1233.0,1139.0,65.0,Ti65.0Pt35.0 %,35.0
K. E. T. Araya,,Phase transformations and equilibria of titanium platinum alloys in the composition range 30-50 atomic percent platinum,2012.0,1228.0,1008.0,69.0,Ti69.0Pt31.0 %,31.0
