Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Zr (at.%),composition,Cu (at.%)
Y. N. Koval; G. Firstov and A. Kotko,Scripta metallurgica et materialia,Martensitic transformation and shape memory effect in ZrCu intermetallic compound,1992.0,330.0,40.0,50.1,Zr50.1Cu49.9 %,49.9
Y. N. Koval; G. Firstov; J. V. Humbeeck; L. Delaey and W. Jang,Journal de Physique IV,B2 intermetallic compounds of Zr. New class of the shape memory alloys,1995.0,330.0,40.0,50.0,Zr50.0Cu50.0 %,50.0
G. Firstov; J. Van Humbeeck and Y. N. Koval,Le Journal de Physique IV,Peculiarities of the martensitic transformation in ZrCu intermetallic compound-potential high temperature SMA,2001.0,420.0,30.0,50.0,Zr50.0Cu50.0 %,50.0
F. Javid; N. Mattern; S. Pauly and J. Eckert,Journal of Alloys and Compounds,Martensitic transformation and thermal cycling effect in Cu–Co–Zr alloys,2011.0,282.0,138.0,50.0,Zr50.0Cu50.0 %,50.0
F. Meng; K. Tsuchiya; F. Yin; S. Ii and Y. Yokoyama,Journal of Alloys and Compounds,Influence of Al content on martensitic transformation behavior in Zr50Cu50− xAlx,2012.0,267.0,108.0,50.0,Zr50.0Cu50.0 %,50.0
C. A. Biffi; A. Figini Albisetti and A. Tuissi,Materials Science Forum,CuZr based shape memory alloys: effect of Cr and Co on the martensitic transformation,2013.0,313.0,77.0,50.0,Zr50.0Cu50.0 %,50.0
F. Meng; K. Tsuchiya; S. Ii and Y. Yokoyama,Journal of Alloys and Compounds,Influence of Ni on stability of martensitic transformation in Zr50Cu50− xNix,2013.0,275.0,40.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,298.0,42.0,45.0,Zr45.0Cu55.0 %,55.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,289.0,40.0,55.0,Zr55.0Cu45.0 %,45.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,290.0,54.0,45.0,Zr45.0Cu55.0 %,55.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,310.0,30.0,45.0,Zr45.0Cu55.0 %,55.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,294.0,97.0,55.0,Zr55.0Cu45.0 %,45.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,303.0,84.0,55.0,Zr55.0Cu45.0 %,45.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,290.0,97.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,279.0,112.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,291.0,104.0,48.0,Zr48.0Cu52.0 %,52.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,290.0,108.0,52.0,Zr52.0Cu48.0 %,48.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,285.0,89.0,52.0,Zr52.0Cu48.0 %,48.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,281.0,94.0,50.0,Zr50.0Cu50.0 %,50.0
