Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ag (at.%),composition,Cd (at.%)
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-105.0,-90.0,54.0,Ag54.0Cd46.0 %,46.0
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-90.0,-80.0,54.5,Ag54.5Cd45.5 %,45.5
R. V. KRISHNAN AND L. C. BROWN,METALLURGICAL TRANSACTIONS,Martensitic Transformations in # Ag-Cd Alloys,1972.0,-75.0,-65.0,55.0,Ag55.0Cd45.0 %,45.0
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-97.0,-87.0,54.2,Ag54.2Cd45.8 %,45.8
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-70.0,-66.0,55.2,Ag55.2Cd44.8 %,44.8
H. C. Tong and C. M. Wayman,Scripta Metallurgica,Marmem effect in β' AgCd alloys,1973.0,-46.0,-50.0,56.2,Ag56.2Cd43.8 %,43.8
S. Miura; T. Mori,Scripta METALLURGICA,FERROELASTIC AND SUPEHELASTIC BEHAVIOR IN Ag-Cd ALLOYS,1973.0,-91.0,-70.0,55.0,Ag55.0Cd45.0 %,45.0
S. Miura; T. Mori,Scripta METALLURGICA,FERROELASTIC AND SUPEHELASTIC BEHAVIOR IN Ag-Cd ALLOYS,1973.0,-69.0,-40.0,56.0,Ag56.0Cd44.0 %,44.0
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-147.0,-147.0,52.2,Ag52.2Cd47.8 %,47.8
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-124.0,-120.0,53.2,Ag53.2Cd46.8 %,46.8
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-97.0,-87.0,54.2,Ag54.2Cd45.8 %,45.8
H. C. TONGf;and C. M. WAYMAN,ACTA METALLURGICA,THERMODYNAMICS OF THERMOELASTIC MARTENSITIC TRANSFORMATIONS,1975.0,-69.0,-63.0,55.2,Ag55.2Cd44.8 %,44.8
H. C. TONG and C. M. WAYMAN,ACTA METALLURGICA,CHARACTERISTIC TEMPERATURES AND OTHER PROPERTIES OF THERMOELASTIC MARTENSITES,1974.0,-61.43,-55.87,55.5,Ag55.5Cd44.5 %,44.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-188.0,-178.0,50.0,Ag50.0Cd50.0 %,50.0
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-153.0,-147.0,51.2,Ag51.2Cd48.8 %,48.8
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-151.0,-150.0,51.2,Ag51.2Cd48.8 %,48.8
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-89.0,-83.0,54.5,Ag54.5Cd45.5 %,45.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-87.0,-82.0,54.5,Ag54.5Cd45.5 %,45.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-85.0,-82.0,54.5,Ag54.5Cd45.5 %,45.5
K. V. S. PRASAD and C. BANSAL,Physica Status Solidi. A; Applied Research,Resistivity and Thermoelectric Power Measurements on AgCd Shape Memory Alloys,1986.0,-80.0,-82.0,54.5,Ag54.5Cd45.5 %,45.5
T. Saburi and C.M. Wayman,Acta Metallurgica,THE SHAPE MEMORY MECHANISM AND RELATED PHENOMENA IN Ag-45at.%Cd ,1980.0,-70.0,-60.0,55.0,Ag55.0Cd45.0 %,45.0
