Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Au (at.%),composition,Cu (at.%),Zn (at.%)
Norihiko Nakanishi; Yuichiro Murakami; Sukeji Kachi,Japanese Journal of Applied Physics,Martensitic Transformation in Au-Cu-Zn Alloys,1965.0,1.3,0.9,28.0,Au28.0Cu27.0Zn45.0 %,27.0,45.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,53.3,51.5,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,53.8,51.4,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,54.9,51.9,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,53.3,51.3,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,52.8,50.9,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,52.4,50.6,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,54.7,52.6,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,55.2,53.6,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,55.7,54.0,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,48.3,44.8,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
Y. Murakami; S.C. Singh; L. Delaey,Scriota METALLURGICA,ON THE MARTENSITIC TRANSFORMATION TEMPERATURES IN B Au-Cu-Zn ALLOYS,1978.0,50.5,46.2,26.0,Au26.0Cu30.0Zn44.0 %,30.0,44.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,274.8,271.6,26.0,Au26.0Cu48.0Zn26.0 %,48.0,26.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,267.0,263.3,26.0,Au26.0Cu48.0Zn26.0 %,48.0,26.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,210.3,209.5,30.0,Au30.0Cu48.0Zn22.0 %,48.0,22.0
T. Makita; A. Nagasawa,Scripta METALLURGICA,ELECTRIC RESISTIVITY ANOMALY AND MARTENSITIC PHASE TRANSFORMATION IN Au-Cu-Zn ALLOYS,1984.0,247.2,245.7,30.0,Au30.0Cu48.0Zn22.0 %,48.0,22.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,1.0,-0.4,36.0,Au36.0Cu19.0Zn45.0 %,19.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,3.0,3.5,36.0,Au36.0Cu19.0Zn45.0 %,19.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,-110.0,-136.0,18.0,Au18.0Cu37.0Zn45.0 %,37.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,-65.0,-69.0,20.0,Au20.0Cu35.0Zn45.0 %,35.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,-22.5,-20.0,22.0,Au22.0Cu33.0Zn45.0 %,33.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,17.0,6.0,24.0,Au24.0Cu31.0Zn45.0 %,31.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,54.0,35.5,26.0,Au26.0Cu29.0Zn45.0 %,29.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,4.0,-0.5,28.0,Au28.0Cu27.0Zn45.0 %,27.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,-35.0,-39.0,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Murakami; Yuichiro; Hajime Asano; Norihiko Nakanishi; and Sukeji Kachi,apanese Journal of Applied Physics,Phase Relation and Kinetics of the Transformations in Au-Cu-Zn Ternary Alloys,1967.0,-11.0,-138.0,35.0,Au35.0Cu20.0Zn45.0 %,20.0,45.0
Norihiko Nakanishi; Yuichiro Murakami; Sukeji Kachi,Japanese Journal of Applied Physics,Martensitic Transformation in Au-Cu-Zn Alloys,1965.0,-0.9,-1.9,28.0,Au28.0Cu27.0Zn45.0 %,27.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,51.8,57.6,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,51.4,57.7,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,50.3,57.7,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,47.9,57.5,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
