Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Cu (at.%),composition,Al (at.%),Mn (at.%)
Babacan; Atli; Turkbas; Karaman; Kockar,Materials Science and Engineering A,The effect of dynamic aging on the cyclic stability of Cu73Al16Mn11 shape memory alloy,2017.0,27.0,32.0,73.0,Cu73.0Al16.0Mn11.0 %,16.0,11.0
Canbay; Keskin,J. Thermal Analysis and Calorimetry,Effects of vanadium and cadmium on transformation temperatures of Cu-Al-Mn shape memory alloy,2014.0,139.0,124.0,74.95,Cu74.95Al21.33Mn3.72 %,21.33,3.72
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,140.0,108.0,76.1,Cu76.1Al23.0Mn0.9 %,23.0,0.9
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,120.0,100.0,71.9,Cu71.9Al23.0Mn5.1 %,23.0,5.1
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,144.0,118.0,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,135.0,106.0,72.5,Cu72.5Al20.9Mn6.6 %,20.9,6.6
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,69.0,59.0,70.0,Cu70.0Al22.0Mn8.0 %,22.0,8.0
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,54.0,37.0,70.0,Cu70.0Al21.5Mn8.5 %,21.5,8.5
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,100.0,69.0,71.7,Cu71.7Al19.5Mn8.8 %,19.5,8.8
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,25.0,22.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,-3.0,-16.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,24.0,35.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,27.0,38.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,29.0,42.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,31.0,45.0,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz; Kato; Miura; Messerschmidt; Bartsch,,STRUCTURE CHANGES DURING PSEUDOELASTIC DEFORMATION OF CuAlMn SINGLE CRYSTALS,1996.0,-19.0,-17.0,69.7,Cu69.7Al20.8Mn9.5 %,20.8,9.5
