Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Fe (at.%),composition,Mn (at.%),Si (at.%)
Charfi A; Gamaoun F; Bouraoui T; Bradai C; Normand B,InAdvanced Materials Research 2012 ,Shape Memory Effect Improvement and Study of the Corrosion Resistance of the Fe-8Mn-6Si-13Cr-6Ni-12Co Alloy,2012.0,111.85,-0.15,57.95,Fe57.95Mn30.05Si12.0 %,30.05,12.0
Druker A; Baruj A; Malarría J,Materials characterization,Effect of rolling conditions on the structure and shape memory properties of Fe–Mn–Si alloys,2010.0,52.0,38.0,62.2,Fe62.2Mn30.16Si7.64 %,30.16,7.64
Druker A; Baruj A; Malarría J,Materials characterization,Effect of rolling conditions on the structure and shape memory properties of Fe–Mn–Si alloys,2010.0,52.0,38.0,62.2,Fe62.2Mn30.16Si7.64 %,30.16,7.64
Golovin IS; Markova GV; Kustov SB; Komissarov AA,The Physics of Metals and Metallography,Study of martensitic transformation in the Fe-22 Mn-3 Si alloy by mechanical spectroscopy,2010.0,201.7,67.89,72.58,Fe72.58Mn21.64Si5.78 %,21.64,5.78
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,202.7,129.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,207.0,126.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,211.0,125.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,219.5,121.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,222.9,119.8,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,225.0,118.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,227.0,117.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,228.0,116.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,230.0,115.0,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,231.0,114.3,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,236.85,110.85,72.41,Fe72.41Mn22.95Si4.64 %,22.95,4.64
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,273.85,135.85,74.38,Fe74.38Mn17.08Si8.54 %,17.08,8.54
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,301.85,128.85,71.57,Fe71.57Mn19.35Si9.08 %,19.35,9.08
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,184.85,62.85,70.44,Fe70.44Mn19.76Si9.8 %,19.76,9.8
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,235.85,60.85,65.48,Fe65.48Mn25.08Si9.44 %,25.08,9.44
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,104.85,16.85,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
