Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Co (at.%)
Kök; Mediha; Ateş; Gonca,The European Physical Journal Plus,The effect of addition of various elements on properties of NiTi-based shape memory alloys for biomedical application,2017.0,-17.4,-2.3,48.0,Ni48.0Ti51.0Co1.0 %,51.0,1.0
"Santosh; S.
Sampath; V.",Transactions of the Indian Institute of Metals,Effect of Ternary Addition of Cobalt on Shape Memory Characteristics of Ni–Ti Alloys,2019.0,6.47,-12.0,49.0,Ni49.0Ti50.0Co1.0 %,50.0,1.0
"Santosh; S.
Sampath; V.",Transactions of the Indian Institute of Metals,Effect of Ternary Addition of Cobalt on Shape Memory Characteristics of Ni–Ti Alloys,2019.0,-9.0,-37.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,18.0,27.0,46.5,Ni46.5Ti51.5Co2.0 %,51.5,2.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,22.0,25.0,45.0,Ni45.0Ti52.0Co3.0 %,52.0,3.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,8.0,22.0,43.5,Ni43.5Ti52.5Co4.0 %,52.5,4.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,-4.0,6.0,42.0,Ni42.0Ti53.0Co5.0 %,53.0,5.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,-20.0,-10.0,40.5,Ni40.5Ti53.5Co6.0 %,53.5,6.0
"Mohammad Sharifi; E.
Kermanpur; A.",Transactions of Nonferrous Metals Society of China,Superelastic behavior of nanostructured Ti 50 Ni 48 Co 2 shape memory alloy with cold rolling processing,2018.0,-42.0,12.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
"Mohammad Sharifi; E.
Kermanpur; A.",Transactions of Nonferrous Metals Society of China,Superelastic behavior of nanostructured Ti 50 Ni 48 Co 2 shape memory alloy with cold rolling processing,2018.0,-10.0,5.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
