Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Cu (at.%)
K. Yamazaki; S. Kajiwara; T. Kikuchi; K. Ogawa and S. Miyazaki,Journal de Physique IV ,Super-high strength shape memory thin films,2003.0,155.0,103.0,40.0,Ni40.0Ti54.3Cu5.7 %,54.3,5.7
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Acta Materialia,Internal structures and shape memory properties of sputter-deposited thin films of a Ti–Ni–Cu alloy,2001.0,151.0,104.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,147.0,101.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,145.0,116.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,142.0,117.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
K. Yamazaki; S. Kajiwara; T. Kikuchi; K. Ogawa and S. Miyazaki,Journal de Physique IV ,Super-high strength shape memory thin films,2003.0,138.0,97.0,40.0,Ni40.0Ti54.3Cu5.7 %,54.3,5.7
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Materials Science and Engineering: A,High strength Ti–Ni-based shape memory thin films,1999.0,135.0,94.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,132.0,101.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,131.0,105.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,131.0,97.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Acta Materialia,Internal structures and shape memory properties of sputter-deposited thin films of a Ti–Ni–Cu alloy,2001.0,129.0,101.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,127.0,99.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,126.0,100.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,126.0,87.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,125.0,111.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,124.0,107.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,123.0,104.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
K. Yamazaki; S. Kajiwara; T. Kikuchi; K. Ogawa and S. Miyazaki,Journal de Physique IV ,Super-high strength shape memory thin films,2003.0,122.0,95.0,40.0,Ni40.0Ti54.3Cu5.7 %,54.3,5.7
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,121.0,100.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,120.0,99.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,118.0,101.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,118.0,85.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,118.0,92.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,116.0,101.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,116.0,81.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,115.0,98.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,115.0,93.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,115.0,71.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,114.0,78.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,113.0,96.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,112.0,76.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,112.0,105.0,33.1,Ni33.1Ti51.5Cu15.4 %,51.5,15.4
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,112.0,103.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,111.0,101.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,111.0,102.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,110.0,95.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,109.0,75.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,109.0,102.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,109.0,108.0,41.0,Ni41.0Ti50.0Cu9.0 %,50.0,9.0
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,108.0,95.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,108.0,98.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,108.0,96.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,107.0,42.0,Ni42.0Ti49.0Cu9.0 %,49.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,108.0,40.0,Ni40.0Ti51.0Cu9.0 %,51.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,108.0,39.0,Ni39.0Ti52.0Cu9.0 %,52.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,107.0,36.0,Ni36.0Ti55.0Cu9.0 %,55.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,107.0,35.0,Ni35.0Ti56.0Cu9.0 %,56.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,107.0,34.0,Ni34.0Ti57.0Cu9.0 %,57.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,107.0,32.0,Ni32.0Ti59.0Cu9.0 %,59.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,106.0,31.0,Ni31.0Ti60.0Cu9.0 %,60.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,106.0,29.0,Ni29.0Ti62.0Cu9.0 %,62.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,108.0,106.0,28.0,Ni28.0Ti63.0Cu9.0 %,63.0,9.0
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Materials Science and Engineering: A,High strength Ti–Ni-based shape memory thin films,1999.0,107.0,78.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,107.0,106.0,43.0,Ni43.0Ti48.0Cu9.0 %,48.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,107.0,107.0,33.0,Ni33.0Ti58.0Cu9.0 %,58.0,9.0
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,107.0,106.0,30.0,Ni30.0Ti61.0Cu9.0 %,61.0,9.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,107.0,86.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,106.0,101.0,27.4,Ni27.4Ti51.7Cu20.9 %,51.7,20.9
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,106.0,94.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,105.0,104.0,44.0,Ni44.0Ti47.0Cu9.0 %,47.0,9.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,104.0,93.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,104.0,66.0,41.8,Ni41.8Ti52.1Cu6.1 %,52.1,6.1
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,103.0,100.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,103.0,91.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,102.0,96.0,48.3,Ni48.3Ti28.4Cu23.3 %,28.4,23.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,102.0,72.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,102.0,103.0,45.0,Ni45.0Ti46.0Cu9.0 %,46.0,9.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,101.0,74.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,101.0,93.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
R. Zarnetta; M. Ehmann; A. Savan and A. Ludwig,Smart Materials and Structures,Identification of optimized Ti–Ni–Cu shape memory alloy compositions for high-frequency thin film microactuator applications,2010.0,101.0,100.0,46.0,Ni46.0Ti45.0Cu9.0 %,45.0,9.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,101.0,78.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,101.0,76.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Acta Materialia,Internal structures and shape memory properties of sputter-deposited thin films of a Ti–Ni–Cu alloy,2001.0,100.0,87.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,100.0,91.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,100.0,73.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,100.0,85.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,99.0,90.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,98.0,90.0,33.1,Ni33.1Ti51.5Cu15.4 %,51.5,15.4
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,98.0,92.0,48.3,Ni48.3Ti28.4Cu23.3 %,28.4,23.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,98.0,92.0,23.9,Ni23.9Ti48.3Cu27.8 %,48.3,27.8
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,98.0,68.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,97.0,92.0,27.4,Ni27.4Ti51.7Cu20.9 %,51.7,20.9
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,97.0,93.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,97.0,72.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,97.0,84.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,97.0,65.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,97.0,69.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,95.0,86.0,41.6,Ni41.6Ti51.9Cu6.5 %,51.9,6.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,95.0,89.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,95.0,91.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,94.0,89.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,94.0,94.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,94.0,70.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
M. Tomozawa; H. Y. Kim and S. Miyazaki,Acta Materialia,Shape memory behavior and internal structure of Ti–Ni–Cu shape memory alloy thin films and their application for microactuators,2009.0,94.0,95.0,38.3,Ni38.3Ti52.4Cu9.3 %,52.4,9.3
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,93.0,72.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
Y. Fu; H. Du; S. Zhang and Y. Gu,Surface and Coatings Technology,Stress and surface morphology of TiNiCu thin films: effect of annealing temperature,2005.0,93.0,70.0,47.5,Ni47.5Ti49.5Cu3.0 %,49.5,3.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,93.0,64.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Fu; H. Du; S. Zhang and Y. Gu,Surface and Coatings Technology,Stress and surface morphology of TiNiCu thin films: effect of annealing temperature,2005.0,92.0,64.0,47.5,Ni47.5Ti49.5Cu3.0 %,49.5,3.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,92.0,68.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,92.0,93.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
M. Tomozawa; H. Y. Kim and S. Miyazaki,Acta Materialia,Shape memory behavior and internal structure of Ti–Ni–Cu shape memory alloy thin films and their application for microactuators,2009.0,92.0,95.0,38.3,Ni38.3Ti52.4Cu9.3 %,52.4,9.3
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,92.0,86.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,91.0,64.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,91.0,84.0,41.6,Ni41.6Ti51.9Cu6.5 %,51.9,6.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,91.0,91.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,91.0,86.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,91.0,88.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
M. Nishida; T. Ueda; Y. Toyama and A. Chiba,Materials Science Forum,Phase transformations in Ti40Ni60-XCuX alloys,1990.0,90.0,37.0,56.5,Ni56.5Ti40.0Cu3.5 %,40.0,3.5
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,90.0,65.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
Y. Fu; H. Du; S. Zhang and Y. Gu,Surface and Coatings Technology,Stress and surface morphology of TiNiCu thin films: effect of annealing temperature,2005.0,90.0,65.0,47.5,Ni47.5Ti49.5Cu3.0 %,49.5,3.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,90.0,86.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,90.0,88.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
