Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Al (at.%)
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,145.0,155.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,117.0,121.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,129.0,130.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,116.0,116.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,129.0,135.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,103.0,104.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,122.0,118.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,108.0,102.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,116.0,111.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,115.0,104.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,117.0,125.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,98.0,65.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,117.0,83.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,40.0,32.0,64.0,Ni64.0Al36.0 %,36.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,293.2267658,282.4200743,64.4,Ni64.4Al35.6 %,35.6
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,204.3717472,197.1672862,64.0,Ni64.0Al36.0 %,36.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,-10.56133829,-26.17100372,63.0,Ni63.0Al37.0 %,37.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,266.0,246.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,266.0,246.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,265.0,240.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,222.0,206.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,142.0,126.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,125.0,89.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,128.0,108.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,126.0,116.0,64.0,Ni64.0Al36.0 %,36.0
H.-J. Kang; S.-K. Wu and L.-M. Wu,Intermetallics,Martensitic transformation of Ni64Al34Re2 shape memory alloy,2010.0,-22.66149046,-45.09324207,64.0,Ni64.0Al36.0 %,36.0
S. Ponomarova; V. Odnosum; I. Koval; G. Monastyrsky; V. Kolomytsev; P. Ochin; R. Portier; T. Czeppe and O. Ponomarov,MATEC Web of Conferences,Martensitic transformation and shape memory effect in Ni-Al based alloys,2015.0,200.0,130.0,64.8,Ni64.8Al35.2 %,35.2
