Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ni (at.%),composition,Al (at.%),Fe (at.%)
S. Furukawa; A. Inoue and T. Masumoto,Materials Science and Engineering,High ductility and shape memory effect of rapidly solidified B-2 compounds in the Ni Fe Al system,1988.0,94.0,89.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
P. Johansson; J. Liu and S. Savage,European Symposium on Martensitic Transformations,Nickel-Iron-Aluminium Shape Memory Alloys with Improved Properties by Rapid Solidification,1989.0,137.0,126.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
P. Johansson; J. Liu and S. Savage,European Symposium on Martensitic Transformations,Nickel-Iron-Aluminium Shape Memory Alloys with Improved Properties by Rapid Solidification,1989.0,156.0,127.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
E. P. George; C. T. Liu; C. J. Sparks; M.-Y. Kao; J. A. Horton; H. Kunsmann and T. King,MRS Proceedings,Microstructure; Phase Stability; Mechanical Properties; and Shape Memory Characteristics of Ni-Fe-AI-B Alloys,1991.0,82.0,77.0,56.1,Ni56.099999999999994Al23.9Fe20.0 %,23.9,20.0
R. Kainuma; H. Nakano; K. Oikawa; K. Ishida and T. Nishizawa,MRS Proceedings,High Temperature Shape Memory Alloys of Ni-Al Base Systems,1991.0,128.0,143.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C. Liu; C. Sparks; J. Horton; E. George; C. Carmichael; M.-Y. Kao and H. Kunsmann,MRS Online Proceedings Library Archive,Microstructural features and shape-memory characteristics of melt-spun Ni-Al-Fe-B ribbons,1991.0,80.0,81.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
C. Liu; C. Sparks; J. Horton; E. George; C. Carmichael; M.-Y. Kao and H. Kunsmann,MRS Online Proceedings Library Archive,Microstructural features and shape-memory characteristics of melt-spun Ni-Al-Fe-B ribbons,1991.0,85.0,77.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,-71.0,-68.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,-26.0,-22.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,17.0,20.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
