Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%)
Y. F. Zheng; B. B. Zhang; B. L. Wang; Y. B. Wang; L. Li; Q. B. Yang and L. S. Cui,Acta Biomaterialia,Introduction of antibacterial function into biomedical TiNi shape memory alloy by the addition of element Ag,2011.0,62.0,78.0,50.0,Ni50.0Ti50.0 %,50.0
M. Bitzer; M. Bram; H. Buchkremer and D. Stöver,Journal of materials engineering and performance,Phase transformation behavior of hot isostatically pressed NiTi-X (X= Ag; Nb; W) alloys for functional engineering applications,2012.0,-8.0,11.0,50.8,Ni50.8Ti49.2 %,49.2
O. Mercier; E. Torok and B. Tirbonod,International Conference on Martensitic Transformations,Internal friction peaks associated with the martensitic phase transformation of NiTi and NiTiCu alloys,1979.0,34.0,53.0,49.9,Ni49.9Ti50.1 %,50.1
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,142.0,165.0,50.0,Ni50.0Ti50.0 %,50.0
Y. Furuya; M. Matsumoto; H. S. Kimura and T. Masumoto,Materials Science and Engineering: A,Thermoelastic phase transformation of Melt Spun Ti50Ni50−xCux (x = 0–20 at.%) ribbons,1991.0,40.0,70.0,50.0,Ni50.0Ti50.0 %,50.0
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,62.0,76.0,48.7,Ni48.7Ti51.3 %,51.3
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,76.0,97.0,48.7,Ni48.7Ti51.3 %,51.3
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,71.0,92.0,48.7,Ni48.7Ti51.3 %,51.3
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,71.0,90.0,48.7,Ni48.7Ti51.3 %,51.3
B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,38.0,48.0,50.0,Ni50.0Ti50.0 %,50.0
B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,-19.0,9.0,50.5,Ni50.5Ti49.5 %,49.5
B. Strnadel; S. Ohashi; H. Ohtsuka; T. Ishihara and S. Miyazaki,Materials Science and Engineering: A,Cyclic stress-strain characteristics of TiNi and TiNiCu shape memory alloys,1995.0,-31.0,2.0,50.9,Ni50.9Ti49.1 %,49.1
S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,62.0,81.0,48.7,Ni48.7Ti51.3 %,51.3
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,59.0,81.0,48.5,Ni48.5Ti51.5 %,51.5
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,27.0,20.0,55.8,Ni55.8Ti44.2 %,44.2
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,24.0,5.0,62.4,Ni62.4Ti37.6 %,37.6
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,12.0,7.0,63.0,Ni63.0Ti37.0 %,37.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,11.0,-2.0,64.6,Ni64.6Ti35.4 %,35.4
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,23.0,5.0,69.3,Ni69.3Ti30.7 %,30.7
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,22.0,20.0,69.4,Ni69.4Ti30.6 %,30.6
