Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Fe (at.%)
X.Y. Kang; Y.F. Li; X.Q. Yin; H.F. Xie and X.J. Mi,Advanced Materials Research: Trans Tech Publ,The Microstructure and Properties of Ti50Ni47Fe3 and Ti50Ni46.75Fe3Cr0.25 Shape Memory Alloy,2013.0,-148.15,-94.15,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Liang; S. Jiang and J. Yu,Metals,Microstructure; mechanical property; and phase transformation of quaternary NiTiFeNb and NiTiFeTa shape memory alloys,2017.0,-11.8,-13.4,45.0,Ni45.0Ti51.8Fe3.2 %,51.8,3.2
B. Chen and F-S. Liu,Rare Metals,Phase transformation behavior and mechanical properties of Ti50Ni49−xFe1Coxshape memory alloys,2013.0,18.43299176,31.0149273,49.0,Ni49.0Ti50.0Fe1.0 %,50.0,1.0
F. Liu; Y. Li; Y. Li and H. Xu,Materials Science and Engineering: A,A study on TiNi(Fe;Mo) shape memory alloy,2006.0,-61.13989637,-54.14507772,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
H. Xu; C. Jiang; S. Gong; and G. Feng,Materials Science and Engineering:A,Martensitic transformation of the Ti50Ni48Fe2 alloy deformed at different temperatures,2000.0,-32.0,-22.0,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-60.15,-30.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-51.15,-34.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-50.15,-36.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-55.15,-33.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-45.15,-39.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
