Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Hf (at.%)
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,278.0,307.0,36.0,Ni36.0Ti49.0Hf15.0 %,49.0,15.0
J. Rao; T. Roberts; K. Lawson and J. Nicholls,Surface and Coatings Technology,Nickel titanium and nickel titanium hafnium shape memory alloy thin films,2010.0,99.0,98.0,40.0,Ni40.0Ti30.0Hf30.0 %,30.0,30.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,141.0,179.0,40.0,Ni40.0Ti50.0Hf10.0 %,50.0,10.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,154.0,206.0,41.0,Ni41.0Ti49.0Hf10.0 %,49.0,10.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,233.0,238.0,43.0,Ni43.0Ti42.0Hf15.0 %,42.0,15.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,91.0,144.0,44.0,Ni44.0Ti49.0Hf7.0 %,49.0,7.0
Y. Tong; Y. Liu and J. Miao,Thin Solid Films,Phase transformation in NiTiHf shape memory alloy thin films,2008.0,190.0,253.0,45.0,Ni45.0Ti32.0Hf23.0 %,32.0,23.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,237.0,251.0,46.0,Ni46.0Ti39.0Hf15.0 %,39.0,15.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,79.0,127.0,46.0,Ni46.0Ti49.0Hf5.0 %,49.0,5.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,298.0,321.0,46.1,Ni46.1Ti28.8Hf25.1 %,28.8,25.1
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,409.0,401.0,46.8,Ni46.8Ti23.3Hf29.9 %,23.3,29.9
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,199.0,208.0,46.9,Ni46.9Ti33.2Hf19.9 %,33.2,19.9
G. S. Firstov; J. Van Humbeeck and Y. N. Koval,Materials Science and Engineering: A,High-temperature shape memory alloys,2004.0,174.0,160.0,47.1,Ni47.1Ti38.2Hf14.7 %,38.2,14.7
Y. Tong; Y. Liu; J. Miao and L. Zhao,Scripta Materialia,Characterization of a nanocrystalline NiTiHf high temperature shape memory alloy thin film,2005.0,125.0,162.0,47.9,Ni47.9Ti35.7Hf16.4 %,35.7,16.4
