Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Pd (at.%)
H.C. Yi; J.J. Moore; A. Petric,Metallurgical Transactions,Microstructural Study of Ti50Pd50 and Ti50Pd50-xPdx Alloys Produced by Combustion Synthesis,1992.0,50.0,45.0,27.0,Ni27.0Ti50.0Pd23.0 %,50.0,23.0
H.C. Yi; J.J. Moore; A. Petric,Metallurgical Transactions,Microstructural Study of Ti50Pd50 and Ti50Pd50-xPdx Alloys Produced by Combustion Synthesis,1992.0,108.0,109.0,20.0,Ni20.0Ti50.0Pd30.0 %,50.0,30.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,179.0,184.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,181.0,196.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,194.0,202.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,211.0,212.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,192.0,187.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,205.0,192.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,202.0,189.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,208.0,192.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
