Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Pt (at.%)
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,-24.0,-12.0,42.7,Ni42.7Ti49.8Pt7.5 %,49.8,7.5
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,-8.0,-8.0,42.7,Ni42.7Ti49.8Pt7.5 %,49.8,7.5
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,229.0,255.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,288.0,311.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,266.0,289.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,239.0,267.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,260.0,285.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,974.0,963.0,10.0,Ni10.0Ti50.0Pt40.0 %,50.0,40.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,982.0,965.0,8.0,Ni8.0Ti50.0Pt42.0 %,50.0,42.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,988.0,964.0,6.0,Ni6.0Ti50.0Pt44.0 %,50.0,44.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,986.0,964.0,5.0,Ni5.0Ti50.0Pt45.0 %,50.0,45.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,988.0,975.0,4.0,Ni4.0Ti50.0Pt46.0 %,50.0,46.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,1022.0,1009.0,3.0,Ni3.0Ti50.0Pt47.0 %,50.0,47.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,1024.0,1013.0,2.0,Ni2.0Ti50.0Pt48.0 %,50.0,48.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,1026.0,1011.0,1.0,Ni1.0Ti50.0Pt49.0 %,50.0,49.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,46.0,51.0,45.0,Ni45.0Ti50.0Pt5.0 %,50.0,5.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,87.0,86.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,259.0,268.0,29.0,Ni29.0Ti52.0Pt19.0 %,52.0,19.0
