Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
J. Beyer and J. H. Mulder,Materials Research Society,Recent developments in high temperature shape memory alloys,1994.0,150.0,190.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,127.0,105.0,50.0,Ni50.0Ti49.0Zr1.0 %,49.0,1.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,129.0,104.0,50.0,Ni50.0Ti45.0Zr5.0 %,45.0,5.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,92.0,83.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,76.0,86.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,72.0,82.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,94.0,83.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,110.0,85.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,114.0,86.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,137.0,145.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,234.0,217.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,52.0,89.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,67.0,131.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,78.0,123.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
