Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ru (at.%),composition,Ta (at.%)
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1123.0,1144.0,54.0,Ru54.0Ta46.0 %,46.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1081.0,1065.0,51.0,Ru51.0Ta49.0 %,49.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1052.0,784.0,50.0,Ru50.0Ta50.0 %,50.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1089.0,1108.0,48.0,Ru48.0Ta52.0 %,52.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1130.0,1131.0,54.0,Ru54.0Ta46.0 %,46.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1101.0,1089.0,52.0,Ru52.0Ta48.0 %,48.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1078.0,1073.0,51.0,Ru51.0Ta49.0 %,49.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1048.0,1054.0,50.0,Ru50.0Ta50.0 %,50.0
Z.-r. He; J.-e. Zhou and Y. Furuya,Materials Science and Engineering: A,Effect of Ta content on martensitic transformation behavior of RuTa ultrahigh temperature shape memory alloys,2003.0,1094.0,1108.0,48.0,Ru48.0Ta52.0 %,52.0
X. Gao; Y. Zheng; W. Cai; S. Zhang and L. Zhao,Journal of Materials Science and Technology,Microstructure; compression property and shape memory effect of equiatomic TaRu high temperature shape memory alloy,2004.0,1041.0,1033.0,50.0,Ru50.0Ta50.0 %,50.0
X. Gao; Y. Zheng; W. Cai; S. Zhang and L. Zhao,Journal of Materials Science and Technology,Microstructure; compression property and shape memory effect of equiatomic TaRu high temperature shape memory alloy,2004.0,756.0,754.0,50.0,Ru50.0Ta50.0 %,50.0
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,1041.0,1038.0,49.6,Ru49.6Ta50.4 %,50.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,781.0,787.0,49.6,Ru49.6Ta50.4 %,50.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,529.0,548.0,44.6,Ru44.6Ta55.4 %,55.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,318.0,327.0,42.9,Ru42.9Ta57.1 %,57.1
