Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Zr (at.%),composition,Cu (at.%)
Y. N. Koval; G. Firstov and A. Kotko,Scripta metallurgica et materialia,Martensitic transformation and shape memory effect in ZrCu intermetallic compound,1992.0,230.0,140.0,50.1,Zr50.1Cu49.9 %,49.9
Y. N. Koval; G. Firstov; J. V. Humbeeck; L. Delaey and W. Jang,Journal de Physique IV,B2 intermetallic compounds of Zr. New class of the shape memory alloys,1995.0,230.0,140.0,50.0,Zr50.0Cu50.0 %,50.0
G. Firstov; J. Van Humbeeck and Y. N. Koval,Le Journal de Physique IV,Peculiarities of the martensitic transformation in ZrCu intermetallic compound-potential high temperature SMA,2001.0,305.0,170.0,50.0,Zr50.0Cu50.0 %,50.0
F. Javid; N. Mattern; S. Pauly and J. Eckert,Journal of Alloys and Compounds,Martensitic transformation and thermal cycling effect in Cu–Co–Zr alloys,2011.0,257.0,176.0,50.0,Zr50.0Cu50.0 %,50.0
F. Meng; K. Tsuchiya; F. Yin; S. Ii and Y. Yokoyama,Journal of Alloys and Compounds,Influence of Al content on martensitic transformation behavior in Zr50Cu50− xAlx,2012.0,257.0,172.0,50.0,Zr50.0Cu50.0 %,50.0
C. A. Biffi; A. Figini Albisetti and A. Tuissi,Materials Science Forum,CuZr based shape memory alloys: effect of Cr and Co on the martensitic transformation,2013.0,279.0,136.0,50.0,Zr50.0Cu50.0 %,50.0
F. Meng; K. Tsuchiya; S. Ii and Y. Yokoyama,Journal of Alloys and Compounds,Influence of Ni on stability of martensitic transformation in Zr50Cu50− xNix,2013.0,264.0,46.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,259.0,125.0,45.0,Zr45.0Cu55.0 %,55.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,260.0,128.0,55.0,Zr55.0Cu45.0 %,45.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,242.0,138.0,45.0,Zr45.0Cu55.0 %,55.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,251.0,138.0,45.0,Zr45.0Cu55.0 %,55.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,264.0,138.0,55.0,Zr55.0Cu45.0 %,45.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,263.0,142.0,55.0,Zr55.0Cu45.0 %,45.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,270.0,148.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,250.0,150.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,269.0,153.0,48.0,Zr48.0Cu52.0 %,52.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,269.0,156.0,52.0,Zr52.0Cu48.0 %,48.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,254.0,163.0,52.0,Zr52.0Cu48.0 %,48.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,257.0,163.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,247.0,164.0,48.0,Zr48.0Cu52.0 %,52.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,258.0,167.0,52.0,Zr52.0Cu48.0 %,48.0
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,255.0,170.0,48.0,Zr48.0Cu52.0 %,52.0
C. A. Biffi; P. Bassani; R. Casati; M. Vedani and A. Tuissi,Materials Science Forum,Processing of CuZr Based Shape Memory Alloys,2014.0,294.0,119.0,50.0,Zr50.0Cu50.0 %,50.0
C. A. Biffi; P. Bassani; R. Casati; M. Vedani and A. Tuissi,Materials Science Forum,Processing of CuZr Based Shape Memory Alloys,2014.0,250.0,168.0,50.0,Zr50.0Cu50.0 %,50.0
W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Martensite structure and phase transformation of quaternary ZrCuAlCo high temperature shape memory alloys,2014.0,259.0,85.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; M. Coduri; H. Yoshida; Y. Soejima; M. Nishida and A. Tuissi,Journal of Alloys and Compounds,The effect of thermal cycling on the martensitic transformation in equiatomic CuZr shape memory alloy,2015.0,-23.0,-23.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; M. Coduri; H. Yoshida; Y. Soejima; M. Nishida and A. Tuissi,Journal of Alloys and Compounds,The effect of thermal cycling on the martensitic transformation in equiatomic CuZr shape memory alloy,2015.0,345.0,20.0,50.0,Zr50.0Cu50.0 %,50.0
C. Biffi; M. Coduri; H. Yoshida; Y. Soejima; M. Nishida and A. Tuissi,Journal of Alloys and Compounds,The effect of thermal cycling on the martensitic transformation in equiatomic CuZr shape memory alloy,2015.0,268.0,149.0,50.0,Zr50.0Cu50.0 %,50.0
F. A. Javid,,Phase formation; martensitic transformation and mechanical properties of Cu-Zr-based alloys,2015.0,255.0,175.0,50.0,Zr50.0Cu50.0 %,50.0
T. Kosorukova; G. Firstov; Y. Koval; P. Verhovlyuk; J. Van Humbeeck and H. Noel,MATEC Web of Conferences,Structural phase transformations and shape memory effect in ZrCu along with Ni and Hf additions,2015.0,277.0,67.0,50.0,Zr50.0Cu50.0 %,50.0
K. Song; D. Wu; S. Pauly; C. Peng; L. Wang and J. Eckert,Intermetallics,Thermal stability of B2 CuZr phase; microstructural evolution and martensitic transformation in Cu–Zr–Ti alloys,2015.0,302.0,105.0,50.0,Zr50.0Cu50.0 %,50.0
K. Song; D. Wu; S. Pauly; C. Peng; L. Wang and J. Eckert,Intermetallics,Thermal stability of B2 CuZr phase; microstructural evolution and martensitic transformation in Cu–Zr–Ti alloys,2015.0,279.0,157.0,50.0,Zr50.0Cu50.0 %,50.0
W. Gao; X. Meng; G. Song; W. Cai and L. Zhao,Science China Materials,Empirical mapping of ZrCu-based alloys with valence electrons versus transformation temperatures,2016.0,256.0,85.0,50.0,Zr50.0Cu50.0 %,50.0
W. Gao; X. Meng; G. Song; W. Cai and L. Zhao,Journal of Alloys and Compounds,Effect of Hf content on martensitic transformation; microstructure; and mechanical properties of Cu50Zr50− xHfx alloys,2016.0,259.0,84.0,50.0,Zr50.0Cu50.0 %,50.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,240.0,168.0,48.0,Zr48.0Cu52.0 %,52.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,240.0,168.0,49.0,Zr49.0Cu51.0 %,51.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,246.0,173.0,48.0,Zr48.0Cu52.0 %,52.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,247.0,174.0,50.0,Zr50.0Cu50.0 %,50.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,261.0,175.0,51.0,Zr51.0Cu49.0 %,49.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,245.0,176.0,49.0,Zr49.0Cu51.0 %,51.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,249.0,176.0,51.0,Zr51.0Cu49.0 %,49.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,247.0,177.0,50.0,Zr50.0Cu50.0 %,50.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,252.0,177.0,52.0,Zr52.0Cu48.0 %,48.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,272.0,178.0,52.0,Zr52.0Cu48.0 %,48.0
