Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Cu (at.%),composition,Au (at.%),Al (at.%)
Livio Battezzati; Gianluca Fiore; Marco Massazza,Journal of Alloys and Compounds,A shape memory gold alloy processed by rapid solidification,2006.0,4.0,4.0,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
Livio Battezzati; Gianluca Fiore; Marco Massazza,Journal of Alloys and Compounds,A shape memory gold alloy processed by rapid solidification,2006.0,4.0,4.0,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
Livio Battezzati; Gianluca Fiore; Marco Massazza,Journal of Alloys and Compounds,A shape memory gold alloy processed by rapid solidification,2006.0,4.0,4.0,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
Livio Battezzati; Gianluca Fiore; Marco Massazza,Journal of Alloys and Compounds,A shape memory gold alloy processed by rapid solidification,2006.0,4.0,4.0,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
V.K. Bhatia; C.S. Kealley; A. Dowd; M.B. Cortie,33rd Annual Condensed Matter and Materials Meeting;,New Shape-Memory Compositions in the Au2-xCu1+xAl (0<x<2) β-Phase,2009.0,10.0,10.0,55.0,Au27.0Cu55.0Al18.0 %,27.0,18.0
V.K. Bhatia; C.S. Kealley; A. Dowd; M.B. Cortie,33rd Annual Condensed Matter and Materials Meeting;,New Shape-Memory Compositions in the Au2-xCu1+xAl (0<x<2) β-Phase,2009.0,10.0,10.0,49.0,Au30.0Cu49.0Al21.0 %,30.0,21.0
V.K. Bhatia; C.S. Kealley; A. Dowd; M.B. Cortie,33rd Annual Condensed Matter and Materials Meeting;,New Shape-Memory Compositions in the Au2-xCu1+xAl (0<x<2) β-Phase,2009.0,10.0,10.0,47.0,Au29.0Cu47.0Al24.0 %,29.0,24.0
V.K. Bhatia; C.S. Kealley; R. Wuhrer; K.S. Wallwork; M.B. Cortie,Journal of Alloys and Compounds,Ternary β and γ phases in the Al–Au–Cu system at 750C,2009.0,10.0,10.0,35.7,Au43.3Cu35.7Al20.9 %,43.3,20.9
V.K. Bhatia; C.S. Kealley; R. Wuhrer; K.S. Wallwork; M.B. Cortie,Journal of Alloys and Compounds,Ternary β and γ phases in the Al–Au–Cu system at 750C,2009.0,10.0,10.0,41.9,Au36.3Cu41.9Al21.6 %,36.3,21.6
V.K. Bhatia; C.S. Kealley; R. Wuhrer; K.S. Wallwork; M.B. Cortie,Journal of Alloys and Compounds,Ternary β and γ phases in the Al–Au–Cu system at 750C,2009.0,10.0,10.0,49.6,Au28.5Cu49.6Al21.8 %,28.5,21.8
Gianluca Fiore; Livio Battezzati,Intermetallics,An entropy driven phase transformation in a Au43.3Cu31.8Al24.9 shape-memory alloy,2011.0,4.0,4.0,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
Gianluca Fiore; Livio Battezzati,Intermetallics,An entropy driven phase transformation in a Au43.3Cu31.8Al24.9 shape-memory alloy,2011.0,4.0,4.0,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
F.C. LEVEY; M.B. CORTIE; L.A. CORNISH,METALLURGICAL AND MATERIALS TRANSACTIONS A,Displacive Transformations in Au-18 Wt Pct Cu-6 Wt Pct Al,2000.0,1.0,1.0,24.2,Au23.5Cu24.2Al52.3 %,23.5,52.3
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda5,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,10.02,10.02,45.0,Au30.0Cu45.0Al25.0 %,30.0,25.0
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda4,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,10.02,10.02,40.0,Au35.0Cu40.0Al25.0 %,35.0,25.0
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda3,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,10.02,10.02,35.0,Au40.0Cu35.0Al25.0 %,40.0,25.0
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda2,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,10.02,10.02,30.0,Au45.0Cu30.0Al25.0 %,45.0,25.0
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda1,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,10.02,10.02,25.0,Au50.0Cu25.0Al25.0 %,50.0,25.0
X. J. Jin; M. J. Jin; J. Y. Liu; G. L. Fan,Solid State Phenomena,A Strain-glass Transition Observed in Au7Cu5Al4 Ternary Alloys,2012.0,10.0,10.0,31.25,Au43.75Cu31.25Al25.0 %,43.75,25.0
Jin Mingjiang; Liu Jiayi; Geng Yonghong; Jin Xuejun,Journal of Alloys and Compounds,Effect of multi-step structural transitions in parent phase on martensitic transformation in Au7.01Cu5.15Al3.77 alloy,2013.0,5.0,5.0,32.3,Au44.0Cu32.3Al23.7 %,44.0,23.7
