Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Fe (at.%),composition,Mn (at.%),Si (at.%)
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,72.58,Fe72.58Mn21.64Si5.78 %,21.64,5.78
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,72.58,Fe72.58Mn21.64Si5.78 %,21.64,5.78
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,72.58,Fe72.58Mn21.64Si5.78 %,21.64,5.78
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,67.06,Fe67.06Mn25.32Si7.62 %,25.32,7.62
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,67.06,Fe67.06Mn25.32Si7.62 %,25.32,7.62
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,67.06,Fe67.06Mn25.32Si7.62 %,25.32,7.62
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,67.06,Fe67.06Mn25.32Si7.62 %,25.32,7.62
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,67.06,Fe67.06Mn25.32Si7.62 %,25.32,7.62
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,67.06,Fe67.06Mn25.32Si7.62 %,25.32,7.62
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,62.41,Fe62.41Mn24.62Si12.97 %,24.62,12.97
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,62.41,Fe62.41Mn24.62Si12.97 %,24.62,12.97
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,10.2,10.2,62.41,Fe62.41Mn24.62Si12.97 %,24.62,12.97
Charfi A; Gamaoun F; Bouraoui T; Bradai C; Normand B,InAdvanced Materials Research 2012 ,Shape Memory Effect Improvement and Study of the Corrosion Resistance of the Fe-8Mn-6Si-13Cr-6Ni-12Co Alloy,2012.0,10.2,10.2,57.95,Fe57.95Mn30.05Si12.0 %,30.05,12.0
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,10.2,10.2,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,612.0,122.4,79.3772,Fe79.3772Mn15.4067Si5.2161 %,15.4067,5.2161
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,612.0,122.4,74.4306,Fe74.4306Mn15.4014Si10.1679 %,15.4014,10.1679
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,612.0,122.4,74.7202,Fe74.7202Mn25.0819Si0.1978 %,25.0819,0.1978
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,612.0,122.4,69.6805,Fe69.6805Mn24.9238Si5.3957 %,24.9238,5.3957
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,612.0,122.4,66.1282,Fe66.1282Mn24.0759Si9.7959 %,24.0759,9.7959
Zhou ZC; Wen CE; Yang H; Yan YJ,physica status solidi (a), Low frequency damping capacity in a strained Fe–Mn–Si alloy,2010.0,10.0,10.0,63.11,Fe63.11Mn30.83Si6.06 %,30.83,6.06
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
Gavriljuk VG; Bliznuk VV; Shanina BD; Kolesnik SP,Materials Science and Engineering, Effect of silicon on atomic distribution and shape memory in Fe–Mn base alloys,2005.0,10.2,10.2,59.58,Fe59.58Mn29.56Si10.86 %,29.56,10.86
