Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Al (at.%)
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,10.0,10.0,63.9,Ni63.9Al36.1 %,36.1
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,10.0,10.0,63.6,Ni63.6Al36.4 %,36.4
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,10.0,10.0,63.0,Ni63.0Al37.0 %,37.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,10.0,10.0,62.5,Ni62.5Al37.5 %,37.5
S. Kim; M. Kim; M. Oh; T. Hirano and D. Wee,Scripta materialia,Phase transformation and microstructure of NiAl/Ni3Al alloys containing Ti,2003.0,10.0,10.0,69.0,Ni69.0Al31.0 %,31.0
S. Kim; M. Kim; M. Oh; T. Hirano and D. Wee,Scripta materialia,Phase transformation and microstructure of NiAl/Ni3Al alloys containing Ti,2003.0,10.0,10.0,68.0,Ni68.0Al32.0 %,32.0
S. Kim; M. Kim; M. Oh; T. Hirano and D. Wee,Scripta materialia,Phase transformation and microstructure of NiAl/Ni3Al alloys containing Ti,2003.0,10.0,10.0,67.0,Ni67.0Al33.0 %,33.0
S. Kim; M. Kim; M. Oh; T. Hirano and D. Wee,Scripta materialia,Phase transformation and microstructure of NiAl/Ni3Al alloys containing Ti,2003.0,10.0,10.0,66.0,Ni66.0Al34.0 %,34.0
S. Kim; D. Wee and M. Oh,Metallurgical and Materials Transactions A,Effects of ternary additions on the thermoelastic martensitic transformation of NiAl,2003.0,10.0,10.0,66.0,Ni66.0Al34.0 %,34.0
S. Kim; D. Wee and M. Oh,Metallurgical and Materials Transactions A,Effects of ternary additions on the thermoelastic martensitic transformation of NiAl,2003.0,10.0,10.0,65.0,Ni65.0Al35.0 %,35.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,10.0,10.0,66.0,Ni66.0Al34.0 %,34.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,50.0,50.0,66.0,Ni66.0Al34.0 %,34.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,10.0,10.0,66.0,Ni66.0Al34.0 %,34.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,10.0,10.0,64.8,Ni64.8Al35.2 %,35.2
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,10.0,10.0,64.4,Ni64.4Al35.6 %,35.6
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,10.0,10.0,64.0,Ni64.0Al36.0 %,36.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,10.0,10.0,63.0,Ni63.0Al37.0 %,37.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,5.0,5.0,64.0,Ni64.0Al36.0 %,36.0
A. I. Valiullin; I. I. Kositsyna; S. V. Kositsyn and N. V. Kataeva,Materials Science and Engineering: A,Stabilization of high-temperature shape memory effect in functional Ni–Al–Co martensitic alloys,2008.0,5.0,5.0,65.0,Ni65.0Al35.0 %,35.0
