Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Co (at.%)
Kök; Mediha; Ateş; Gonca,The European Physical Journal Plus,The effect of addition of various elements on properties of NiTi-based shape memory alloys for biomedical application,2017.0,20.0,20.0,48.0,Ni48.0Ti51.0Co1.0 %,51.0,1.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,10.0,10.0,46.5,Ni46.5Ti51.5Co2.0 %,51.5,2.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,10.0,10.0,45.0,Ni45.0Ti52.0Co3.0 %,52.0,3.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,10.0,10.0,43.5,Ni43.5Ti52.5Co4.0 %,52.5,4.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,10.0,10.0,42.0,Ni42.0Ti53.0Co5.0 %,53.0,5.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,10.0,10.0,40.5,Ni40.5Ti53.5Co6.0 %,53.5,6.0
"Mohammad Sharifi; E.
Kermanpur; A.",Transactions of Nonferrous Metals Society of China,Superelastic behavior of nanostructured Ti 50 Ni 48 Co 2 shape memory alloy with cold rolling processing,2018.0,10.0,10.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
"Mohammad Sharifi; E.
Kermanpur; A.",Transactions of Nonferrous Metals Society of China,Superelastic behavior of nanostructured Ti 50 Ni 48 Co 2 shape memory alloy with cold rolling processing,2018.0,10.0,10.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
"Mohammad Sharifi; E.
Kermanpur; A.
Karimzadeh; F.",Materials Science and Engineering: A,The effect of thermomechanical processing on the microstructure and mechanical properties of the nanocrystalline TiNiCo shape memory alloy,2014.0,10.0,10.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,10.0,10.0,50.5,Ni50.5Ti49.0Co0.5 %,49.0,0.5
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,10.0,10.0,49.5,Ni49.5Ti49.0Co1.5 %,49.0,1.5
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti49.0Co4.0 %,49.0,4.0
El-Bagoury; Nader,Metals and Materials International,Comparative study on microstructure and martensitic transformation of aged Ni-rich NiTi and NiTiCo shape memory alloys,2016.0,10.0,10.0,47.0,Ni47.0Ti49.0Co4.0 %,49.0,4.0
El-Bagoury; Nader,Metals and Materials International,Comparative study on microstructure and martensitic transformation of aged Ni-rich NiTi and NiTiCo shape memory alloys,2016.0,10.0,10.0,47.0,Ni47.0Ti49.0Co4.0 %,49.0,4.0
El-Bagoury; Nader,Metals and Materials International,Comparative study on microstructure and martensitic transformation of aged Ni-rich NiTi and NiTiCo shape memory alloys,2016.0,10.0,10.0,47.0,Ni47.0Ti49.0Co4.0 %,49.0,4.0
El-Bagoury; Nader,Metals and Materials International,Comparative study on microstructure and martensitic transformation of aged Ni-rich NiTi and NiTiCo shape memory alloys,2016.0,10.0,10.0,47.0,Ni47.0Ti49.0Co4.0 %,49.0,4.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,10.0,10.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,10.0,10.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,10.0,10.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,10.0,10.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Isola; L.
La Roca; P.
Sobrero; C.
Fuster; V.
Vermaut; Ph
Malarría; J.",Materials & Design,Martensitic transformation strain and stability of Ni50−x–Ti50–Cox (x=3;4) strips obtained by twin-roll casting and standard processing techniques,2016.0,10.0,10.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Isola; L.
La Roca; P.
Sobrero; C.
Fuster; V.
Vermaut; Ph
Malarría; J.",Materials & Design,Martensitic transformation strain and stability of Ni50−x–Ti50–Cox (x=3;4) strips obtained by twin-roll casting and standard processing techniques,2016.0,10.0,10.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
