Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Cu (at.%)
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
