Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Nb (at.%)
Y. Xu; K. Otsuka; H. Nagai; H. Yoshida; M. Asai and T. Kishi,Scripta materialia,A SMA/CFRP hybrid composite with damage suppression effect at ambient temperature,2003.0,5.0,5.0,44.0,Ni44.0Ti50.0Nb6.0 %,50.0,6.0
X. He and L. Rong,Scripta Materialia,DSC analysis of reverse martensitic transformation in deformed Ti–Ni–Nb shape memory alloy,2004.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
