Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Pd (at.%)
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
K.C. Atli; I. Karaman; R.D. Noebe; A. Garg; Y.I. Chumlyakov; I.V. Kireeva,Metallurgical and Materials Transactions,Improvement in the Shape Memory Response of Ti50.5Ni24.5Pd25 High-Temperature Shape Memory Alloy with Scandium Microalloying,2010.0,10.0,10.0,24.5,Ni24.5Ti50.5Pd25.0 %,50.5,25.0
