Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Zr (at.%)
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High Transformation Temperature Shape Memory Alloy,1992.0,10.0,10.0,49.0,Ni49.0Ti50.0Zr1.0 %,50.0,1.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High Transformation Temperature Shape Memory Alloy,1992.0,10.0,10.0,49.0,Ni49.0Ti46.0Zr5.0 %,46.0,5.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High Transformation Temperature Shape Memory Alloy,1992.0,10.0,10.0,49.0,Ni49.0Ti43.0Zr8.0 %,43.0,8.0
J. Beyer and J. H. Mulder,Materials Research Society,Recent developments in high temperature shape memory alloys,1994.0,20.0,20.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,10.0,10.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,10.0,10.0,49.5,Ni49.5Ti38.0Zr12.5 %,38.0,12.5
