Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ru (at.%),composition,Nb (at.%)
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,10.0,10.0,53.0,Ru53.0Nb47.0 %,47.0
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,10.0,10.0,50.0,Ru50.0Nb50.0 %,50.0
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,10.0,10.0,50.0,Ru50.0Nb50.0 %,50.0
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,10.0,10.0,45.0,Ru45.0Nb55.0 %,55.0
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,10.0,10.0,49.8,Ru49.8Nb50.2 %,50.2
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,10.0,10.0,48.0,Ru48.0Nb52.0 %,52.0
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,10.0,10.0,46.1,Ru46.1Nb53.9 %,53.9
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,10.0,10.0,44.7,Ru44.7Nb55.3 %,55.3
C.-L. Tan; X.-H. Tian and W. Cai,Chinese Physics Letters,Effect of Fe on martensitic transformation of NbRu high-temperature shape memory alloys: Experimental and theoretical study,2008.0,20.0,20.0,50.0,Ru50.0Nb50.0 %,50.0
A. Denquin; K. Chastaing; P. Vermaut; D. Caillard; J. Van Humbeeck and R. Portier,International Conference on Martensitic Transformations (ICOMAT),Shape Recovery in RuNb‐Based High Temperature Shape Memory Alloys,2009.0,10.0,10.0,49.8,Ru49.8Nb50.2 %,50.2
A. Denquin; K. Chastaing; P. Vermaut; D. Caillard; J. Van Humbeeck and R. Portier,International Conference on Martensitic Transformations (ICOMAT),Shape Recovery in RuNb‐Based High Temperature Shape Memory Alloys,2009.0,10.0,10.0,49.8,Ru49.8Nb50.2 %,50.2
A. Denquin; K. Chastaing; P. Vermaut; D. Caillard; J. Van Humbeeck and R. Portier,International Conference on Martensitic Transformations (ICOMAT),Shape Recovery in RuNb‐Based High Temperature Shape Memory Alloys,2009.0,10.0,10.0,44.7,Ru44.7Nb55.3 %,55.3
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,49.8,Ru49.8Nb50.2 %,50.2
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,49.8,Ru49.8Nb50.2 %,50.2
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,44.7,Ru44.7Nb55.3 %,55.3
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,42.6,Ru42.6Nb57.4 %,57.4
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,20.0,20.0,53.0,Ru53.0Nb47.0 %,47.0
L. Dirand; M. Nó; K. Chastaing; A. Denquin and J. San Juan,Applied Physics Letters,Internal friction and dynamic modulus in Ru-50Nb ultra-high temperature shape memory alloys,2012.0,1.0,1.0,50.0,Ru50.0Nb50.0 %,50.0
L. Dirand; M. Nó; K. Chastaing; A. Denquin and J. San Juan,Applied Physics Letters,Internal friction and dynamic modulus in Ru-50Nb ultra-high temperature shape memory alloys,2012.0,1.0,1.0,50.0,Ru50.0Nb50.0 %,50.0
A. M. Manzoni; A. Denquin; P. Vermaut; I. P. Orench; F. Prima and R. A. Portier,Intermetallics,Shape memory deformation mechanisms of Ru–Nb and Ru–Ta shape memory alloys with transformation temperatures,2014.0,10.0,10.0,50.0,Ru50.0Nb50.0 %,50.0
A. M. Manzoni; A. Denquin; P. Vermaut; I. P. Orench; F. Prima and R. A. Portier,Intermetallics,Shape memory deformation mechanisms of Ru–Nb and Ru–Ta shape memory alloys with transformation temperatures,2014.0,10.0,10.0,50.0,Ru50.0Nb50.0 %,50.0
