Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ti (at.%),composition,Au (at.%)
T. Kawamura; R. Tachi; T. Inamura; H. Hosoda; K. Wakashima; K. Hamada and S. Miyazaki,Materials Science and Engineering: A,Effects of ternary additions on martensitic transformation of TiAu,2006.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,10.0,10.0,47.0,Ti47.0Au53.0 %,53.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,10.0,10.0,49.0,Ti49.0Au51.0 %,51.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,10.0,10.0,51.0,Ti51.0Au49.0 %,49.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,10.0,10.0,54.0,Ti54.0Au46.0 %,46.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier and P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin and R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
T. Aoki; M. Tahara; K. Goto; Y. Yamabe-Mitarai; H. Kanetaka; T. Inamura and H. Hosoda,Advanced Materials Research,Martensitic Transformation and Related Properties of AuTi-FeTi Pseudobinary Alloys,2014.0,20.0,20.0,50.0,Ti50.0Au50.0 %,50.0
H. Shim; M. Tahara; T. Inamura; K. Goto; Y. Yamabe-Mitarai and H. Hosoda,Materials Transactions,Oxidation Behavior of Au-55 mol% Ti High Temperature Shape Memory Alloy during Heating in Ar-50 vol% O2 Environment,2015.0,20.0,20.0,55.0,Ti55.0Au45.0 %,45.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,0.167,0.167,47.0,Ti47.0Au53.0 %,53.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,0.167,0.167,49.0,Ti49.0Au51.0 %,51.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,0.167,0.167,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,0.167,0.167,51.0,Ti51.0Au49.0 %,49.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,0.167,0.167,54.0,Ti54.0Au46.0 %,46.0
T. Kawamura; R. Tachi; T. Inamura; H. Hosoda; K. Wakashima; K. Hamadac; S. Miyazaki ,Materials Science and Engineering A,Effects of ternary additions on the martensitic transformation of TiAu,2006.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,10.0,10.0,50.0,Ti50.0Au50.0 %,50.0
