Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ti (at.%),composition,Pd (at.%)
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi and K. Mitose,Materials Letters,TEM observation of recrystallization process in solution-treated Ti50Pd50 martensite,1998.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka and M. Asai,Materials transactions; JIM,Martensite aging effect in Ti–Pd and Ti–Pd–Ni high temperature shape memory alloys,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
