Authors,Source,Title,Year,composition,Ag (at.%),Al (at.%),Au (at.%),Cd (at.%),Co (at.%),Cu (at.%),Fe (at.%),Hf (at.%),Mn (at.%),Nb (at.%),Ni (at.%),Pd (at.%),Pt (at.%),Ru (at.%),Si (at.%),Ta (at.%),Ti (at.%),Zn (at.%),Zr (at.%),Austenite Finish Temperature - AF - (°C),Austenite Start Temperature - AS - (°C),Martensite Finish Temperature - MF - (°C),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heating Rate (°C/min),Calculated Density (g/cm^3),Thermal transformation span (TSPAN) - (AF-MF) - (°C)
Kök; Mediha; Ateş; Gonca,The European Physical Journal Plus,The effect of addition of various elements on properties of NiTi-based shape memory alloys for biomedical application,2017.0,Ni48.0Ti51.0Co1.0 %,,,,,1.0,,,,,,48.0,,,,,,51.0,,,17.3,-2.3,-34.5,-17.4,20.0,20.0,6.66341,51.8
"Santosh; S.
Sampath; V.",Transactions of the Indian Institute of Metals,Effect of Ternary Addition of Cobalt on Shape Memory Characteristics of Ni–Ti Alloys,2019.0,Ni49.0Ti50.0Co1.0 %,,,,,1.0,,,,,,49.0,,,,,,50.0,,,37.0,-12.0,-47.0,6.47,,,6.70742,84.0
"Santosh; S.
Sampath; V.",Transactions of the Indian Institute of Metals,Effect of Ternary Addition of Cobalt on Shape Memory Characteristics of Ni–Ti Alloys,2019.0,Ni48.0Ti50.0Co2.0 %,,,,,2.0,,,,,,48.0,,,,,,50.0,,,-0.5,-37.0,-75.0,-9.0,,,6.70734,74.5
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,Ni46.5Ti51.5Co2.0 %,,,,,2.0,,,,,,46.5,,,,,,51.5,,,59.0,27.0,-22.0,18.0,10.0,10.0,6.641325,81.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,Ni45.0Ti52.0Co3.0 %,,,,,3.0,,,,,,45.0,,,,,,52.0,,,58.0,25.0,-35.0,22.0,10.0,10.0,6.61924,93.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,Ni43.5Ti52.5Co4.0 %,,,,,4.0,,,,,,43.5,,,,,,52.5,,,58.0,22.0,-7.0,8.0,10.0,10.0,6.597155,65.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,Ni42.0Ti53.0Co5.0 %,,,,,5.0,,,,,,42.0,,,,,,53.0,,,22.0,6.0,-9.0,-4.0,10.0,10.0,6.57507,31.0
"Kök; Mediha
Zardawi; Hanaa Shahab Ahmed
Qader; Ibrahim Nazem
Sait Kanca; M.",The European Physical Journal Plus,The effects of cobalt elements addition on Ti2Ni phases; thermodynamics parameters; crystal structure and transformation temperature of NiTi shape memory alloys,2019.0,Ni40.5Ti53.5Co6.0 %,,,,,6.0,,,,,,40.5,,,,,,53.5,,,6.0,-10.0,-29.0,-20.0,10.0,10.0,6.552985,35.0
"Mohammad Sharifi; E.
Kermanpur; A.",Transactions of Nonferrous Metals Society of China,Superelastic behavior of nanostructured Ti 50 Ni 48 Co 2 shape memory alloy with cold rolling processing,2018.0,Ni48.0Ti50.0Co2.0 %,,,,,2.0,,,,,,48.0,,,,,,50.0,,,28.0,12.0,-9.0,-42.0,10.0,10.0,6.70734,37.0
"Mohammad Sharifi; E.
Kermanpur; A.
Karimzadeh; F.",Materials Science and Engineering: A,The effect of thermomechanical processing on the microstructure and mechanical properties of the nanocrystalline TiNiCo shape memory alloy,2014.0,Ni48.0Ti50.0Co2.0 %,,,,,2.0,,,,,,48.0,,,,,,50.0,,,44.0,17.0,-18.0,13.0,10.0,10.0,6.70734,62.0
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,Ni50.5Ti49.0Co0.5 %,,,,,0.5,,,,,,50.5,,,,,,49.0,,,43.0,28.0,-5.0,22.0,10.0,10.0,6.75147,48.0
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,Ni49.5Ti49.0Co1.5 %,,,,,1.5,,,,,,49.5,,,,,,49.0,,,57.0,48.0,7.0,31.0,10.0,10.0,6.75139,50.0
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,Ni47.0Ti49.0Co4.0 %,,,,,4.0,,,,,,47.0,,,,,,49.0,,,68.0,48.0,16.0,42.0,10.0,10.0,6.75119,52.0
"Goryczka; T.
Lelatko; J.
Vokoun; D.
Ochin; P.",ESOMAT 2009 - 8th European Symposium on Martensitic Transformations,Martensitic transformation in NiTiCo strip covered by nanocrystalline platinum layer,2009.0,Ni47.0Ti50.0Co3.0 %,,,,,3.0,,,,,,47.0,,,,,,50.0,,,15.85,1.15,-47.75,-17.75,,,6.70726,63.6
"Goryczka; T.
Morawiec; H.",Journal of Alloys and Compounds,Structure studies of the R-phase using X-ray diffraction methods,2004.0,Ni47.0Ti50.0Co3.0 %,,,,,3.0,,,,,,47.0,,,,,,50.0,,,-8.9,-27.8,-91.5,-53.9,,,6.70726,82.6
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,Ni47.0Ti50.0Co3.0 %,,,,,3.0,,,,,,47.0,,,,,,50.0,,,17.64,2.0,-45.12,-16.61,10.0,10.0,6.70726,62.76
"Isola; L.
La Roca; P.
Roatta; A.
Vermaut; Ph
Jordan; L.
Ochin; P.
Malarría; J.",Materials Science and Engineering: A,Load-biased martensitic transformation strain of Ti50–Ni47–Co3 strip obtained by a twin-roll casting technique,2014.0,Ni47.0Ti50.0Co3.0 %,,,,,3.0,,,,,,47.0,,,,,,50.0,,,-20.15,-28.0,-92.15,-66.15,,,6.70726,72.0
"Isola; L.
La Roca; P.
Sobrero; C.
Fuster; V.
Vermaut; Ph
Malarría; J.",Materials & Design,Martensitic transformation strain and stability of Ni50−x–Ti50–Cox (x=3;4) strips obtained by twin-roll casting and standard processing techniques,2016.0,Ni47.0Ti50.0Co3.0 %,,,,,3.0,,,,,,47.0,,,,,,50.0,,,-20.0,-28.0,-99.0,-66.0,10.0,10.0,6.70726,79.0
"Goryczka; Tomasz
Ochin; Patrick",Solid State Phenomena,Texture in NiTi-Based Shape Memory Alloys Produced by Twin Roll Casting,2013.0,Ni47.0Ti50.0Co3.0 %,,,,,3.0,,,,,,47.0,,,,,,50.0,,,34.9,12.7,-45.6,-6.9,10.0,10.0,6.70726,80.5
G. Firstov; Y. N. Koval; J. Van Humbeeck and P. Ochin,Materials Science and Engineering: A,Martensitic transformation and shape memory effect in Ni3Ta: A novel high-temperature shape memory alloy,2008.0,Ni75Ta25 %,,,,,,,,,,,75.0,,,,,25.0,,,,303.0,277.0,227.0,257.0,,,10.8435,76.0
A. Rudajevova,International Journal of Thermophysics,Study of the Thermal Properties of a Ni 3 Ta Shape Memory Alloy,2010.0,Ni75Ta25 %,,,,,,,,,,,75.0,,,,,25.0,,,,473.0,348.0,189.0,265.0,2.0,2.0,10.8435,284.0
A. Rudajevova and J. Pospíšil,Materials Science and Engineering: A,Shape memory behavior of a Ni3Ta alloy pre-deformed in compression,2010.0,Ni75Ta25 %,,,,,,,,,,,75.0,,,,,25.0,,,,440.0,333.0,188.0,257.0,2.0,2.0,10.8435,252.0
C. A. Biffi; F. Agresti; R. Casati and A. Tuissi,Materials Today: Proceedings,Ni3Ta high temperature shape memory alloys: effect of B addition on the martensitic transformation and microstructure,2015.0,Ni75Ta25 %,,,,,,,,,,,75.0,,,,,25.0,,,,320.0,288.0,239.0,273.0,10.0,10.0,10.8435,81.0
