Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Babacan; Atli; Turkbas; Karaman; Kockar,Materials Science and Engineering A,The effect of dynamic aging on the cyclic stability of Cu73Al16Mn11 shape memory alloy,2017.0,34.0,7.7653,73.0,Cu73.0Al16.0Mn11.0 %,16.0,11.0
Canbay; Keskin,J. Thermal Analysis and Calorimetry,Effects of vanadium and cadmium on transformation temperatures of Cu-Al-Mn shape memory alloy,2014.0,62.0,7.539334,74.95,Cu74.95Al21.33Mn3.72 %,21.33,3.72
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,24.0,7.47635,76.1,Cu76.1Al23.0Mn0.9 %,23.0,0.9
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,24.0,7.41545,71.9,Cu71.9Al23.0Mn5.1 %,23.0,5.1
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,23.0,7.29292,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,25.0,7.52432,72.5,Cu72.5Al20.9Mn6.6 %,20.9,6.6
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,12.0,7.4356,70.0,Cu70.0Al22.0Mn8.0 %,22.0,8.0
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,16.0,7.45945,70.0,Cu70.0Al21.5Mn8.5 %,21.5,8.5
Dasgupta,Reviews,A look into Cu-based shape memory alloys: Present scenario and future prospects,2014.0,32.0,7.5795,71.7,Cu71.7Al19.5Mn8.8 %,19.5,8.8
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,34.0,7.51295,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,55.0,7.51295,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,26.0,7.51295,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,25.0,7.51295,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,24.0,7.51295,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN COPPER BASE ALLOYS,1999.0,26.0,7.51295,70.4,Cu70.4Al20.5Mn9.1 %,20.5,9.1
Dutkiewicz; Kato; Miura; Messerschmidt; Bartsch,,STRUCTURE CHANGES DURING PSEUDOELASTIC DEFORMATION OF CuAlMn SINGLE CRYSTALS,1996.0,27.0,7.48849,69.7,Cu69.7Al20.8Mn9.5 %,20.8,9.5
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,190.0,7.77648,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,142.0,7.77648,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,211.0,7.77648,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,206.0,7.77648,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,209.0,7.77648,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Jiao; Wen; Li; He; Teng,,Effect of solution treatment on damping capacity and shape memory effect of a CuAlMn alloy,2010.0,215.0,7.77648,74.1,Cu74.1Al16.1Mn9.8 %,16.1,9.8
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,37.0,7.7176,73.0,Cu73.0Al17.0Mn10.0 %,17.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,34.0,7.7798,74.0,Cu74.0Al16.0Mn10.0 %,16.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,33.0,7.7176,73.0,Cu73.0Al17.0Mn10.0 %,17.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,35.0,7.7798,74.0,Cu74.0Al16.0Mn10.0 %,16.0,10.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,62.0,7.8607,73.0,Cu73.0Al14.0Mn13.0 %,14.0,13.0
Kainuma; Takahashi; Ishida,,Thermoelastic Martensite and Shape Memory Effect in Ductile Cu-AI-Mn Alloys,1996.0,60.0,7.8607,73.0,Cu73.0Al14.0Mn13.0 %,14.0,13.0
Kato; Dutkiewicz; Miura,,SUPERELASTICITY AND SHAPE MEMORY EFFECT IN Cu-23at.%A1-7at.%Mn ALLOY SINGLE CRYSTALS,1994.0,45.0,7.3879,70.0,Cu70.0Al23.0Mn7.0 %,23.0,7.0
Kato; Ozu; Hashimoto; Miura,,Cyclic stress–strain response of superelastic Cu–Al–Mn alloy single crystals,1999.0,31.0,7.531,70.0,Cu70.0Al20.0Mn10.0 %,20.0,10.0
Koeda; Omori; Sutou; Suzuki; Wakita; Kainuma; Ishida,,Damping Properties of Ductile Cu-Al-Mn-Based Shape Memory Alloys,2005.0,42.0,7.7031,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Koeda; Omori; Sutou; Suzuki; Wakita; Kainuma; Ishida,,Damping Properties of Ductile Cu-Al-Mn-Based Shape Memory Alloys,2005.0,30.0,7.7031,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,48.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,39.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
