Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Fe (at.%),composition,Mn (at.%),Si (at.%)
Golovin IS; Markova GV; Kustov SB; Komissarov AA,The Physics of Metals and Metallography,Study of martensitic transformation in the Fe-22 Mn-3 Si alloy by mechanical spectroscopy,2010.0,114.09,7.28311,72.58,Fe72.58Mn21.64Si5.78 %,21.64,5.78
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,129.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,126.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,125.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,121.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,119.8,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,118.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,117.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,116.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,115.0,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,114.3,7.327542,73.08,Fe73.08Mn21.71Si5.21 %,21.71,5.21
