Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Ni (at.%),composition,Ti (at.%),Zr (at.%)
J. Beyer and J. H. Mulder,Materials Research Society,Recent developments in high temperature shape memory alloys,1994.0,103.0,6.986095,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,119.0,6.9079,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,120.0,6.9079,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,121.0,6.9079,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,130.0,6.9079,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,146.0,6.9079,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,153.0,6.9079,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,77.0,6.771352,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,140.0,6.771352,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,153.0,6.771352,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,187.0,6.771352,48.4,Ni48.4Ti44.9Zr6.7 %,44.9,6.7
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,69.0,6.935995,49.5,Ni49.5Ti38.0Zr12.5 %,38.0,12.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,98.0,6.90004,48.0,Ni48.0Ti38.0Zr14.0 %,38.0,14.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,63.0,6.971065,49.5,Ni49.5Ti36.25Zr14.25 %,36.25,14.25
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,78.0,6.986095,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,105.0,6.72007,43.0,Ni43.0Ti41.0Zr16.0 %,41.0,16.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,85.0,6.970927,48.7,Ni48.7Ti35.3Zr16.0 %,35.3,16.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,157.0,6.970927,48.7,Ni48.7Ti35.3Zr16.0 %,35.3,16.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,68.0,7.000987,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,134.0,7.000987,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,112.0,6.741685,48.5,Ni48.5Ti46.5Zr5.0 %,46.5,5.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,105.0,6.785695,49.5,Ni49.5Ti45.5Zr5.0 %,45.5,5.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,95.0,6.841885,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,97.0,6.885895,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,70.0,6.942085,48.5,Ni48.5Ti36.5Zr15.0 %,36.5,15.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,83.0,6.986095,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,89.0,7.042285,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,95.0,7.086295,49.5,Ni49.5Ti30.5Zr20.0 %,30.5,20.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,120.0,7.142485,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,88.0,6.67567,47.0,Ni47.0Ti48.0Zr5.0 %,48.0,5.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,91.0,6.77587,47.0,Ni47.0Ti43.0Zr10.0 %,43.0,10.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,75.0,6.87607,47.0,Ni47.0Ti38.0Zr15.0 %,38.0,15.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,71.0,6.97627,47.0,Ni47.0Ti33.0Zr20.0 %,33.0,20.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,84.0,7.06822,50.0,Ni50.0Ti32.0Zr18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,60.0,7.06822,50.0,Ni50.0Ti32.0Zr18.0 %,32.0,18.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,99.0,6.885895,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
V. P. Sivokha and L. L. Meisner,Physica B: Condensed Matter,Shape memory effect in Ti50Ni50−xZrx alloys,2001.0,72.0,6.72754,50.0,Ni50.0Ti49.0Zr1.0 %,49.0,1.0
V. P. Sivokha and L. L. Meisner,Physica B: Condensed Matter,Shape memory effect in Ti50Ni50−xZrx alloys,2001.0,96.0,6.82774,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,105.0,6.82774,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,120.0,6.82774,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,61.0,6.753946,50.6,Ni50.6Ti48.4Zr1.0 %,48.4,1.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,55.0,6.773986,50.6,Ni50.6Ti47.4Zr2.0 %,47.4,2.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,46.0,6.794026,50.6,Ni50.6Ti46.4Zr3.0 %,46.4,3.0
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,94.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,96.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,100.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,115.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,126.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,134.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,138.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,84.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,85.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,86.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,91.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,91.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,94.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,110.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,79.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,80.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,83.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,85.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,86.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,87.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,88.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
G. S. Firstov; J. Van Humbeeck and Y. N. Koval,Scripta Materialia,Comparison of high temperature shape memory behaviour for ZrCu-based; Ti–Ni–Zr and Ti–Ni–Hf alloys,2004.0,140.0,7.0191763,48.79,Ni48.79Ti33.0Zr18.21 %,33.0,18.21
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,75.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,77.0,7.002913,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
